Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.73,3.269,-0.123,,1.288,4.2,8.518,94.552,13.4,12.5,5.6,84.7
,-3.733,3.247,-0.123,,,,,,,,,
,-3.78,3.243,-0.233,,,,,,,,,
POV-I,-9.475,5.106,-2.083,,,,,,,,,
,-9.56,5.186,-2.243,,,,,,,,,
,-9.412,5.169,-2.224,,,,,,,,,
QD1-O,-7.497,6.08,0.659,,0.835,1.7,,,,,,
,-7.445,5.994,0.671,,,,,,,,,
,-7.48,6.018,0.687,,,,,,,,,
QD1-I,-9.839,6.344,-1.367,,,,,,,,,
,-9.825,6.349,-1.377,,,,,,,,,
,-9.813,6.436,-1.298,,,,,,,,,
QV-O,-9.917,6.473,-1.13,,3.507,6.7,,,,,,
,-9.946,6.454,-1.243,,,,,,,,,
,-9.958,6.426,-1.293,,,,,,,,,
QV-I,-11.566,4.275,-2.705,,,,,,,,,
,-11.583,4.315,-2.706,,,,,,,,,
,-11.555,4.221,-2.724,,,,,,,,,
POD-O,-4.903,4,0.048,,0.459,0.6,,,,,,
,-4.956,4.107,0.036,,,,,,,,,
,-4.949,4.104,0.064,,,,,,,,,
POD-I,-8.401,6.064,-1.557,,,,,,,,,
,-8.461,5.962,-1.543,,,,,,,,,
,-8.455,5.944,-1.511,,,,,,,,,
QD2-O,-7.994,6.823,1.388,,0.746,1.1,,,,,,
,-8.002,6.832,1.436,,,,,,,,,
,-8.057,6.852,1.344,,,,,,,,,
QD2-I,-9.334,6.727,-0.329,,,,,,,,,
,-9.364,6.727,-0.314,,,,,,,,,
,-9.366,6.724,-0.201,,,,,,,,,
QD3-O,-8.119,6.382,-0.204,,0.431,1,,,,,,
,-8.098,6.404,-0.114,,,,,,,,,
,-8.149,6.441,-0.121,,,,,,,,,
QD3-I,-9.394,6.391,-1.29,,,,,,,,,
,-9.353,6.348,-1.211,,,,,,,,,
,-9.346,6.366,-1.327,,,,,,,,,
QD4-O,-8.693,6.643,1.382,,0.584,0.4,,,,,,
,-8.69,6.635,1.345,,,,,,,,,
,-8.702,6.67,1.391,,,,,,,,,
QD4-I,-9.44,6.563,0.722,,,,,,,,,
,-9.426,6.644,0.718,,,,,,,,,
,-9.416,6.63,0.743,,,,,,,,,
ABP,-5.175,1.509,-1.628,,,,,,,,,
,-5.168,1.534,-1.611,,,,,,,,,
,-5.16,1.543,-1.569,,,,,,,,,
PBP,-7.283,5.252,0.446,,,,,,,,,
,-7.266,5.229,0.46,,,,,,,,,
,-7.278,5.232,0.446,,,,,,,,,
JJ,-8.781,6.035,-1.885,,,,,,,,,
,-8.701,6.034,-1.851,,,,,,,,,
,-8.75,6.031,-1.878,,,,,,,,,
