Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.564,4.618,-0.772,,2.796,12.2,6.894,73.401,12.5,13.5,9.2,125.4
,-6.542,4.68,-0.771,,,,,,,,,
,-6.504,4.667,-0.756,,,,,,,,,
POV-I,-13.244,5.013,-3.215,,,,,,,,,
,-13.319,5.05,-3.212,,,,,,,,,
,-13.265,5.098,-3.136,,,,,,,,,
QD1-O,-12.208,6.207,-0.777,,1.052,1.9,,,,,,
,-12.249,6.218,-0.765,,,,,,,,,
,-12.159,6.16,-0.759,,,,,,,,,
QD1-I,-13.773,5.868,-2.683,,,,,,,,,
,-13.758,5.869,-2.756,,,,,,,,,
,-13.802,5.915,-2.707,,,,,,,,,
QV-O,-13.915,6.011,-2.876,,3.413,5.4,,,,,,
,-13.91,5.968,-2.852,,,,,,,,,
,-13.899,5.961,-2.87,,,,,,,,,
QV-I,-14.974,4.596,-3.676,,,,,,,,,
,-14.917,4.571,-3.665,,,,,,,,,
,-14.912,4.56,-3.649,,,,,,,,,
POD-O,-9.412,3.8,-0.985,,1.423,4.4,,,,,,
,-9.442,3.782,-0.947,,,,,,,,,
,-9.416,3.762,-0.938,,,,,,,,,
POD-I,-13.159,4.666,-3.436,,,,,,,,,
,-13.172,4.658,-3.565,,,,,,,,,
,-13.218,4.754,-3.541,,,,,,,,,
QD2-O,-12.532,5.745,-1.151,,0.901,1.3,,,,,,
,-12.593,5.743,-1.184,,,,,,,,,
,-12.654,5.772,-1.203,,,,,,,,,
QD2-I,-13.956,5.484,-2.849,,,,,,,,,
,-13.943,5.455,-2.85,,,,,,,,,
,-13.94,5.46,-2.81,,,,,,,,,
QD4-O,-12.996,5.635,-2.981,,0.47,0.3,,,,,,
,-12.98,5.632,-2.956,,,,,,,,,
,-13.003,5.644,-2.97,,,,,,,,,
QD4-I,-13.467,5.312,-3.853,,,,,,,,,
,-13.48,5.349,-3.784,,,,,,,,,
,-13.483,5.382,-3.796,,,,,,,,,
ABP,-7.38,0.227,-3.446,,,,,,,,,
,-7.377,0.233,-3.415,,,,,,,,,
,-7.386,0.228,-3.454,,,,,,,,,
PBP,-11.58,4.138,-3.725,,,,,,,,,
,-11.681,4.115,-3.771,,,,,,,,,
,-11.662,4.07,-3.779,,,,,,,,,
JJ,-13.374,4.945,-2.116,,,,,,,,,
,-13.346,4.874,-2.092,,,,,,,,,
,-13.37,4.934,-2.092,,,,,,,,,
