Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.492,2.644,-0.005,,1.375,2.4,3.031,52.855,11.9,7.9,4.7,73.8
,-4.458,2.635,0.04,,,,,,,,,
,-4.494,2.36,-0.028,,,,,,,,,
POV-I,-8.314,3.125,-1.376,,,,,,,,,
,-8.229,3.115,-1.412,,,,,,,,,
,-8.255,3.111,-1.401,,,,,,,,,
QD1-O,-7.945,3.065,0.098,,0.231,0.4,,,,,,
,-7.979,3.076,0.086,,,,,,,,,
,-7.918,3.216,-0.003,,,,,,,,,
QD1-I,-8.638,3.386,-1.478,,,,,,,,,
,-8.535,3.393,-1.476,,,,,,,,,
,-8.531,3.283,-1.493,,,,,,,,,
QV-O,-8.677,3.387,-1.385,,0.539,0.8,,,,,,
,-8.625,3.43,-1.438,,,,,,,,,
,-8.625,3.43,-1.438,,,,,,,,,
QV-I,-9.059,2.399,-2.203,,,,,,,,,
,-9.042,2.323,-2.204,,,,,,,,,
,-9.028,2.336,-2.202,,,,,,,,,
POD-O,-6.073,2.191,-0.236,,0.651,1.1,,,,,,
,-6.061,2.185,-0.221,,,,,,,,,
,-6.121,2.154,-0.244,,,,,,,,,
POD-I,-8.498,2.697,-1.672,,,,,,,,,
,-8.482,2.671,-1.605,,,,,,,,,
,-8.477,2.691,-1.608,,,,,,,,,
QD2-O,-8.643,3.475,-0.601,,0.448,0.5,,,,,,
,-8.732,3.523,-0.663,,,,,,,,,
,-8.661,3.499,-0.629,,,,,,,,,
QD2-I,-9.02,2.931,-1.552,,,,,,,,,
,-9.051,2.915,-1.482,,,,,,,,,
,-9.011,2.996,-1.461,,,,,,,,,
QD4-O,-8.385,3.148,-1.482,,0.233,0.1,,,,,,
,-8.422,3.115,-1.459,,,,,,,,,
,-8.393,3.11,-1.49,,,,,,,,,
QD4-I,-8.612,2.818,-1.986,,,,,,,,,
,-8.626,2.854,-1.976,,,,,,,,,
,-8.652,2.868,-1.952,,,,,,,,,
ABP,-5.082,0.259,-1.411,,,,,,,,,
,-5.076,0.289,-1.388,,,,,,,,,
,-5.112,0.155,-1.432,,,,,,,,,
PBP,-7.875,2.376,-1.589,,,,,,,,,
,-7.972,2.472,-1.574,,,,,,,,,
,-8.039,2.539,-1.566,,,,,,,,,
JJ,-8.832,2.81,-1.327,,,,,,,,,
,-8.835,2.814,-1.325,,,,,,,,,
,-8.813,2.845,-1.356,,,,,,,,,
