Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.935,5.753,1.175,,3.104,19.3,10.306,90.483,22.9,21.7,,128.7
,-4.873,5.614,0.808,,,,,,,,,
,-4.861,5.622,0.879,,,,,,,,,
POV-I,-13.534,9.1,-2.624,,,,,,,,,
,-13.532,9.051,-2.632,,,,,,,,,
,-13.628,9.057,-2.615,,,,,,,,,
QD1/2-O,-11.131,9.824,2.815,,2.21,6,,,,,,
,-11.092,9.8,2.753,,,,,,,,,
,-11.317,9.877,2.857,,,,,,,,,
QD1/2-I,-14.146,10.586,-0.866,,,,,,,,,
,-14.077,10.537,-0.87,,,,,,,,,
,-14.09,10.539,-0.841,,,,,,,,,
QV-O,-14.058,10.679,-0.64,,11.677,38.9,,,,,,
,-14.072,10.708,-0.643,,,,,,,,,
,-14.092,10.727,-0.586,,,,,,,,,
QV-I,-17.102,7.998,-3.357,,,,,,,,,
,-16.972,7.899,-3.457,,,,,,,,,
,-17.001,7.981,-3.452,,,,,,,,,
POD-O,-6.924,5.905,-0.057,,0.96,4.8,,,,,,
,-6.947,5.934,-0.05,,,,,,,,,
,-6.976,5.958,-0.046,,,,,,,,,
POD-I,-13.538,8.04,-4.301,,,,,,,,,
,-13.51,7.991,-4.253,,,,,,,,,
,-13.52,7.948,-4.233,,,,,,,,,
QD3-O,-11.558,9.708,1.158,,3.287,11,,,,,,
,-11.816,9.765,1.06,,,,,,,,,
,-11.816,9.765,1.06,,,,,,,,,
QD3-I,-14.322,9.765,-2.595,,,,,,,,,
,-14.324,9.846,-2.586,,,,,,,,,
,-14.334,9.862,-2.579,,,,,,,,,
QD4-O,-13.27,9.011,-0.712,,1.118,2,,,,,,
,-13.228,9.005,-0.708,,,,,,,,,
,-13.238,9.09,-0.694,,,,,,,,,
QD4-I,-14.312,8.478,-2.209,,,,,,,,,
,-14.251,8.467,-2.048,,,,,,,,,
,-14.255,8.481,-1.983,,,,,,,,,
ABP,-6.706,0.58,-3.975,,,,,,,,,
,-6.706,0.58,-3.975,,,,,,,,,
,-6.657,0.591,-4.144,,,,,,,,,
PBP,-12.233,7.367,-2.58,,,,,,,,,
,-12.223,7.36,-2.504,,,,,,,,,
,-12.19,7.349,-2.5,,,,,,,,,
JJ,-14.458,8.679,-0.847,,,,,,,,,
,-14.441,8.698,-0.856,,,,,,,,,
,-14.434,8.662,-0.849,,,,,,,,,
