Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.385,3.27,0.223,,1.597,3.7,3.93,56.654,14.4,9.5,6.1,96.6
,-5.377,3.252,0.189,,,,,,,,,
,-5.395,3.205,0.185,,,,,,,,,
POV-I,-10.486,2.775,-0.894,,,,,,,,,
,-10.527,2.809,-0.92,,,,,,,,,
,-10.192,3.551,-1.439,,,,,,,,,
QD1-O,-9.3,3.755,0.728,,0.239,0.4,,,,,,
,-9.259,3.742,0.76,,,,,,,,,
,-9.308,3.731,0.78,,,,,,,,,
QD1-I,-10.972,3.254,-0.727,,,,,,,,,
,-10.993,3.203,-0.831,,,,,,,,,
,-10.981,3.257,-0.801,,,,,,,,,
QV-O,-11.158,3.284,-0.711,,0.819,1.8,,,,,,
,-11.171,3.413,-0.729,,,,,,,,,
,-11.208,3.429,-0.731,,,,,,,,,
QV-I,-11.035,1.75,-1.307,,,,,,,,,
,-11.042,1.631,-1.198,,,,,,,,,
,-11.031,1.628,-1.207,,,,,,,,,
POD-O,-7.025,2.489,-1.129,,0.953,2,,,,,,
,-6.993,2.468,-1.129,,,,,,,,,
,-7.032,2.454,-1.138,,,,,,,,,
POD-I,-10.49,2.422,-2.537,,,,,,,,,
,-10.484,2.415,-2.616,,,,,,,,,
,-10.455,2.339,-2.595,,,,,,,,,
QD2-O,-9.821,3.628,-1.169,,0.444,0.6,,,,,,
,-9.863,3.646,-1.252,,,,,,,,,
,-9.948,3.652,-1.217,,,,,,,,,
QD2-I,-10.983,2.953,-2.347,,,,,,,,,
,-10.983,2.998,-2.358,,,,,,,,,
,-10.943,2.986,-2.34,,,,,,,,,
QD4-O,-10.463,2.999,-0.907,,0.231,0.1,,,,,,
,-10.49,2.976,-0.893,,,,,,,,,
,-10.499,3.044,-0.861,,,,,,,,,
QD4-I,-10.945,2.664,-1.381,,,,,,,,,
,-10.952,2.724,-1.352,,,,,,,,,
,-10.931,2.676,-1.314,,,,,,,,,
ABP,-5.963,0.198,-1.691,,,,,,,,,
,-5.969,0.149,-1.704,,,,,,,,,
,-5.897,-0.154,-1.537,,,,,,,,,
PBP,-9.921,2.1,-1.279,,,,,,,,,
,-9.915,2.091,-1.3,,,,,,,,,
,-9.895,2.08,-1.319,,,,,,,,,
JJ,-10.833,2.399,-0.786,,,,,,,,,
,-10.749,2.411,-0.829,,,,,,,,,
,-10.817,2.39,-0.77,,,,,,,,,
