Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.222,2.7,0.241,,1.143,2,2.939,60.972,10.3,8.2,5.9,67.8
,-4.247,2.658,0.21,,,,,,,,,
,-4.254,2.703,0.219,,,,,,,,,
POV-I,-8.343,2.562,-0.968,,,,,,,,,
,-8.379,2.496,-0.992,,,,,,,,,
,-8.392,2.564,-1.003,,,,,,,,,
QD1-O,-7.861,3.288,0.421,,0.176,0.3,,,,,,
,-7.87,3.307,0.434,,,,,,,,,
,-7.8,3.258,0.495,,,,,,,,,
QD1-I,-8.58,2.932,-0.67,,,,,,,,,
,-8.571,3.009,-0.664,,,,,,,,,
,-8.554,3.02,-0.652,,,,,,,,,
QV-O,-8.638,3.073,-0.756,,0.76,0.9,,,,,,
,-8.656,3.049,-0.774,,,,,,,,,
,-8.655,3.071,-0.794,,,,,,,,,
QV-I,-9.06,1.738,-1.237,,,,,,,,,
,-9.138,1.794,-1.238,,,,,,,,,
,-9.091,1.745,-1.259,,,,,,,,,
POD-O,-5.868,2.127,0.722,,0.762,1.1,,,,,,
,-5.959,2.194,0.701,,,,,,,,,
,-6.027,2.218,0.745,,,,,,,,,
POD-I,-8.332,2.68,-0.571,,,,,,,,,
,-8.343,2.574,-0.524,,,,,,,,,
,-8.237,2.64,-0.596,,,,,,,,,
QD2-O,-8.141,3.332,0.635,,0.259,0.3,,,,,,
,-8.109,3.375,0.735,,,,,,,,,
,-8.088,3.359,0.673,,,,,,,,,
QD2-I,-8.709,2.926,-0.457,,,,,,,,,
,-8.694,2.974,-0.442,,,,,,,,,
,-8.667,2.969,-0.454,,,,,,,,,
QD4-O,-8.279,3.322,0.167,,0.127,0.1,,,,,,
,-8.281,3.27,0.193,,,,,,,,,
,-8.226,3.35,0.164,,,,,,,,,
QD4-I,-8.592,2.972,-0.354,,,,,,,,,
,-8.577,2.961,-0.324,,,,,,,,,
,-8.565,2.919,-0.356,,,,,,,,,
ABP,-5.017,0.322,-0.547,,,,,,,,,
,-5.042,0.315,-0.511,,,,,,,,,
,-5.056,0.289,-0.56,,,,,,,,,
PBP,-7.407,2.373,0.057,,,,,,,,,
,-7.441,2.236,0.052,,,,,,,,,
,-7.387,2.192,0.025,,,,,,,,,
JJ,-8.499,2.747,0.5,,,,,,,,,
,-8.5,2.742,0.496,,,,,,,,,
,-8.474,2.745,0.493,,,,,,,,,
