Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.874,4.268,-0.207,,2.205,12.3,8.621,55.523,25.1,18.2,11.7,132.6
,-6.845,4.334,-0.191,,,,,,,,,
,-6.839,4.334,-0.132,,,,,,,,,
POV-I,-15.86,7.925,-3.357,,,,,,,,,
,-15.787,7.939,-3.321,,,,,,,,,
,-15.814,7.895,-3.329,,,,,,,,,
QD1-O,-13.449,8.893,0.304,,0.746,2.8,,,,,,
,-13.657,9.02,0.284,,,,,,,,,
,-13.46,8.903,0.288,,,,,,,,,
QD1-I,-16.309,9.088,-2.607,,,,,,,,,
,-16.307,9.099,-2.515,,,,,,,,,
,-16.276,9.136,-2.519,,,,,,,,,
QV-O,-16.56,9.432,-2.373,,7.242,25.3,,,,,,
,-16.538,9.365,-2.391,,,,,,,,,
,-16.53,9.249,-2.437,,,,,,,,,
QV-I,-19.055,7.26,-4.301,,,,,,,,,
,-19.021,7.391,-4.269,,,,,,,,,
,-19.034,7.319,-4.27,,,,,,,,,
POD-O,-9.336,5.486,-1.206,,0.678,4.1,,,,,,
,-9.353,5.485,-1.268,,,,,,,,,
,-9.304,5.448,-1.179,,,,,,,,,
POD-I,-16.066,7.737,-3.533,,,,,,,,,
,-16.101,7.724,-3.504,,,,,,,,,
,-16.001,7.773,-3.555,,,,,,,,,
QD2-O,-14.276,9.24,-0.126,,1.224,3.1,,,,,,
,-14.337,9.282,-0.127,,,,,,,,,
,-14.262,9.235,-0.109,,,,,,,,,
QD2-I,-16.5,8.887,-2.505,,,,,,,,,
,-16.612,8.772,-2.491,,,,,,,,,
,-16.617,8.795,-2.404,,,,,,,,,
QD3-O,-14.092,9.125,-0.665,,0.9,4.3,,,,,,
,-14.096,9.11,-0.67,,,,,,,,,
,-14.151,9.11,-0.702,,,,,,,,,
QD3-I,-16.724,8.373,-2.816,,,,,,,,,
,-16.759,8.376,-2.74,,,,,,,,,
,-16.824,8.38,-2.694,,,,,,,,,
QD4-O,-15.857,8.786,-1.735,,0.907,1.5,,,,,,
,-15.851,8.749,-1.75,,,,,,,,,
,-15.867,8.715,-1.755,,,,,,,,,
QD4-I,-16.965,8.252,-2.758,,,,,,,,,
,-16.929,8.155,-2.754,,,,,,,,,
,-16.915,8.165,-2.692,,,,,,,,,
ABP,-9.589,0.508,-2.709,,,,,,,,,
,-9.583,0.574,-2.647,,,,,,,,,
,-9.602,0.698,-2.565,,,,,,,,,
PBP,-14.275,6.496,-2.437,,,,,,,,,
,-14.245,6.461,-2.48,,,,,,,,,
,-14.257,6.465,-2.484,,,,,,,,,
JJ,-16.565,7.917,-1.457,,,,,,,,,
,-16.545,7.879,-1.483,,,,,,,,,
,-16.532,7.904,-1.402,,,,,,,,,
