Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.154,5.358,0.634,,5.157,28.2,11.897,91.979,23.9,26.7,,151.6
,-5.26,5.183,0.618,,,,,,,,,
,-5.213,5.204,0.599,,,,,,,,,
POV-I,-14.494,8.795,-3.931,,,,,,,,,
,-14.408,8.881,-3.873,,,,,,,,,
,-14.366,8.913,-3.885,,,,,,,,,
QD1-O,-11.9,10.646,1.661,,2.489,8.1,,,,,,
,-12.078,10.696,1.66,,,,,,,,,
,-12.064,10.682,1.673,,,,,,,,,
QD1-I,-14.654,10.993,-2.562,,,,,,,,,
,-14.557,10.98,-2.485,,,,,,,,,
,-14.579,11.01,-2.539,,,,,,,,,
QV-O,-14.847,11.235,-2.302,,14.583,50.2,,,,,,
,-14.878,11.22,-2.291,,,,,,,,,
,-14.88,11.226,-2.371,,,,,,,,,
QV-I,-18.369,7.866,-4.3,,,,,,,,,
,-18.453,7.595,-4.311,,,,,,,,,
,-18.433,7.752,-4.32,,,,,,,,,
POD-O,-7.268,6.41,-0.584,,0.792,5.7,,,,,,
,-7.308,6.41,-0.513,,,,,,,,,
,-7.339,6.455,-0.577,,,,,,,,,
POD-I,-14.091,8.965,-3.367,,,,,,,,,
,-14.072,9.016,-3.311,,,,,,,,,
,-14.026,8.97,-3.376,,,,,,,,,
QD2-O,-11.765,11.064,1.787,,2.349,6.6,,,,,,
,-11.822,11.096,1.751,,,,,,,,,
,-11.786,11.072,1.688,,,,,,,,,
QD2-I,-14.442,11.169,-1.729,,,,,,,,,
,-14.439,11.088,-1.695,,,,,,,,,
,-14.476,11.062,-1.724,,,,,,,,,
QD3-O,-12.077,11.148,1.828,,3.115,13.4,,,,,,
,-12.241,11.241,1.813,,,,,,,,,
,-12.25,11.25,1.808,,,,,,,,,
QD3-I,-14.492,10.817,-0.874,,,,,,,,,
,-14.614,10.77,-1.011,,,,,,,,,
,-14.514,10.803,-0.901,,,,,,,,,
QD4-O,-13.596,10.475,0.479,,1.65,4.2,,,,,,
,-13.644,10.477,0.449,,,,,,,,,
,-13.599,10.414,0.453,,,,,,,,,
QD4-I,-15.012,10.238,-0.483,,,,,,,,,
,-15.022,10.302,-0.404,,,,,,,,,
,-15.01,10.213,-0.333,,,,,,,,,
ABP,-7.943,1.041,-3.651,,,,,,,,,
,-8.098,1.125,-3.69,,,,,,,,,
,-8.045,1.116,-3.628,,,,,,,,,
PBP,-12.896,8.048,-1.525,,,,,,,,,
,-12.94,8.031,-1.503,,,,,,,,,
,-12.831,8.019,-1.427,,,,,,,,,
JJ,-14.6,9.458,0.79,,,,,,,,,
,-14.608,9.493,0.75,,,,,,,,,
,-14.6,9.469,0.713,,,,,,,,,
