Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.636,3.415,-0.723,,0.952,5.5,7.851,70.739,19.7,11.4,12.4,102.4
,-5.638,3.446,-0.754,,,,,,,,,
,-5.676,3.456,-0.788,,,,,,,,,
POV-I,-12.772,6.03,-3.463,,,,,,,,,
,-12.755,6.067,-3.462,,,,,,,,,
,-12.776,6.065,-3.463,,,,,,,,,
QD1-O,-11.243,7.143,-0.538,,0.937,2.1,,,,,,
,-11.198,7.127,-0.589,,,,,,,,,
,-11.141,7.089,-0.609,,,,,,,,,
QD1-I,-13.203,7.061,-2.787,,,,,,,,,
,-13.159,6.962,-2.822,,,,,,,,,
,-13.156,6.987,-2.861,,,,,,,,,
QV-O,-13.499,7.078,-2.939,,4.697,10.5,,,,,,
,-13.482,7.113,-2.986,,,,,,,,,
,-13.487,7.044,-3.003,,,,,,,,,
QV-I,-15.362,5.377,-4.273,,,,,,,,,
,-15.377,5.337,-4.3,,,,,,,,,
,-15.334,5.339,-4.268,,,,,,,,,
POD-O,-7.741,4.6,-1.254,,0.62,1.9,,,,,,
,-7.597,4.447,-1.21,,,,,,,,,
,-7.601,4.467,-1.18,,,,,,,,,
POD-I,-12.545,6.053,-3.088,,,,,,,,,
,-12.486,6.138,-3.043,,,,,,,,,
,-12.445,6.008,-3.007,,,,,,,,,
QD2-O,-11.57,7.562,-0.535,,0.549,1.3,,,,,,
,-11.623,7.576,-0.566,,,,,,,,,
,-11.521,7.537,-0.58,,,,,,,,,
QD2-I,-13.082,6.995,-2.444,,,,,,,,,
,-13.079,6.912,-2.466,,,,,,,,,
,-13.101,6.912,-2.436,,,,,,,,,
QD3-O,-11.302,7.032,-2.374,,0.75,1.9,,,,,,
,-11.367,7.087,-2.391,,,,,,,,,
,-11.461,7.066,-2.457,,,,,,,,,
QD3-I,-12.723,6.408,-4.297,,,,,,,,,
,-12.656,6.32,-4.376,,,,,,,,,
,-12.709,6.347,-4.202,,,,,,,,,
QD4-O,-12.274,6.947,-3.099,,0.475,0.6,,,,,,
,-12.315,6.949,-3.196,,,,,,,,,
,-12.206,6.915,-3.097,,,,,,,,,
QD4-I,-12.91,6.308,-4.141,,,,,,,,,
,-12.89,6.274,-4.086,,,,,,,,,
,-12.904,6.278,-4.147,,,,,,,,,
ABP,-7.192,0.576,-3.42,,,,,,,,,
,-7.167,0.584,-3.363,,,,,,,,,
,-7.165,0.582,-3.319,,,,,,,,,
PBP,-11.628,5.593,-3.516,,,,,,,,,
,-11.573,5.575,-3.64,,,,,,,,,
,-11.565,5.546,-3.548,,,,,,,,,
JJ,-13.033,6.323,-3.023,,,,,,,,,
,-13.078,6.368,-3.106,,,,,,,,,
,-13.106,6.392,-3.102,,,,,,,,,
