Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.523,5.829,0.465,,4.971,29.6,12.958,74.765,25.2,24.7,14.8,140.2
,-5.549,5.85,0.29,,,,,,,,,
,-5.493,5.897,0.381,,,,,,,,,
POV-I,-14.814,8.962,-4.626,,,,,,,,,
,-14.779,8.862,-4.632,,,,,,,,,
,-14.71,8.959,-4.54,,,,,,,,,
QD1-O,-12.507,10.709,0.74,,2.358,7.7,,,,,,
,-12.474,10.728,0.741,,,,,,,,,
,-12.443,10.676,0.809,,,,,,,,,
QD1-I,-15.162,10.803,-3.355,,,,,,,,,
,-15.098,10.833,-3.275,,,,,,,,,
,-15.075,10.878,-3.285,,,,,,,,,
QV-O,-15.623,11.101,-3.239,,14.399,54.1,,,,,,
,-15.613,11.155,-3.151,,,,,,,,,
,-15.582,11.013,-3.356,,,,,,,,,
QV-I,-18.425,7.929,-5.664,,,,,,,,,
,-18.419,7.769,-5.712,,,,,,,,,
,-18.497,7.971,-5.683,,,,,,,,,
POD-O,-7.568,6.492,0.059,,1.216,6,,,,,,
,-7.529,6.476,0.01,,,,,,,,,
,-7.538,6.464,0.051,,,,,,,,,
POD-I,-14.774,9.44,-3.234,,,,,,,,,
,-14.752,9.455,-3.297,,,,,,,,,
,-14.651,9.508,-3.253,,,,,,,,,
QD2-O,-12.571,10.8,2.063,,2.752,11,,,,,,
,-12.416,10.714,2.117,,,,,,,,,
,-12.388,10.7,2.126,,,,,,,,,
QD2-I,-15.292,11.298,-1.56,,,,,,,,,
,-15.294,11.157,-1.41,,,,,,,,,
,-15.248,10.903,-1.519,,,,,,,,,
QD3-O,-13.384,10.5,1.681,,1.799,7.3,,,,,,
,-13.531,10.58,1.648,,,,,,,,,
,-13.52,10.584,1.614,,,,,,,,,
QD3-I,-15.606,10.533,-1.133,,,,,,,,,
,-15.574,10.551,-1.055,,,,,,,,,
,-15.527,10.509,-1.034,,,,,,,,,
QD4-O,-14.375,9.83,1.012,,0.944,1.9,,,,,,
,-14.323,9.747,0.949,,,,,,,,,
,-14.356,9.768,0.953,,,,,,,,,
QD4-I,-15.526,9.648,-0.04,,,,,,,,,
,-15.482,9.619,-0.124,,,,,,,,,
,-15.469,9.725,0.006,,,,,,,,,
ABP,-7.355,2.381,-3.134,,,,,,,,,
,-7.387,2.571,-3.057,,,,,,,,,
,-7.347,2.515,-3.037,,,,,,,,,
PBP,-13.014,8.916,-0.669,,,,,,,,,
,-13.054,8.91,-0.708,,,,,,,,,
,-13.022,8.908,-0.687,,,,,,,,,
JJ,-15.37,10.037,1.383,,,,,,,,,
,-15.361,10.07,1.333,,,,,,,,,
,-15.352,10.111,1.276,,,,,,,,,
