Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.447,2.906,0.102,,1.041,2.2,5.254,88.96,10.8,6.5,5.7,73.5
,-4.439,2.891,0.136,,,,,,,,,
,-4.442,2.899,0.104,,,,,,,,,
POV-I,-8.458,3.309,-0.959,,,,,,,,,
,-8.351,3.255,-0.951,,,,,,,,,
,-8.33,3.328,-0.921,,,,,,,,,
QD1-O,-8.039,3.711,0.463,,0.153,0.3,,,,,,
,-8.025,3.716,0.43,,,,,,,,,
,-8.126,3.73,0.411,,,,,,,,,
QD1-I,-8.623,3.731,-0.812,,,,,,,,,
,-8.661,3.786,-0.813,,,,,,,,,
,-8.697,3.875,-0.734,,,,,,,,,
QV-O,-8.802,3.707,-0.87,,0.76,0.9,,,,,,
,-8.8,3.765,-0.851,,,,,,,,,
,-8.794,3.801,-0.829,,,,,,,,,
QV-I,-9.121,2.673,-1.445,,,,,,,,,
,-9.13,2.683,-1.43,,,,,,,,,
,-9.063,2.709,-1.466,,,,,,,,,
POD-O,-6.077,2.375,-0.415,,0.429,0.8,,,,,,
,-6.074,2.41,-0.447,,,,,,,,,
,-6.026,2.365,-0.455,,,,,,,,,
POD-I,-8.295,2.937,-1.805,,,,,,,,,
,-8.302,2.947,-1.825,,,,,,,,,
,-8.269,3.037,-1.863,,,,,,,,,
QD2-O,-8.291,3.729,-0.75,,0.535,0.3,,,,,,
,-8.241,3.696,-0.775,,,,,,,,,
,-8.247,3.688,-0.751,,,,,,,,,
QD2-I,-8.654,3.409,-1.685,,,,,,,,,
,-8.653,3.398,-1.696,,,,,,,,,
,-8.662,3.386,-1.666,,,,,,,,,
QD4-O,-8.568,2.945,-1.209,,0.105,0.0302,,,,,,
,-8.586,2.938,-1.192,,,,,,,,,
,-8.578,2.963,-1.209,,,,,,,,,
QD4-I,-8.834,2.806,-1.582,,,,,,,,,
,-8.815,2.838,-1.592,,,,,,,,,
,-8.813,2.83,-1.61,,,,,,,,,
ABP,-5.219,-0.114,-1.507,,,,,,,,,
,-5.208,-0.047,-1.497,,,,,,,,,
,-5.254,-0.079,-1.538,,,,,,,,,
PBP,-7.9,2.088,-1.537,,,,,,,,,
,-7.99,2.146,-1.54,,,,,,,,,
,-7.956,2.119,-1.521,,,,,,,,,
JJ,-8.739,2.576,-1.278,,,,,,,,,
,-8.74,2.544,-1.319,,,,,,,,,
,-8.72,2.484,-1.291,,,,,,,,,
