Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.174,3.685,0.029,,1.249,6.4,10.177,64.293,22.3,12.1,15.3,114.2
,-6.309,3.752,0.002,,,,,,,,,
,-6.278,3.776,0.091,,,,,,,,,
POV-I,-13.802,7.858,-3.188,,,,,,,,,
,-13.78,7.706,-3.299,,,,,,,,,
,-13.766,7.701,-3.275,,,,,,,,,
QD1/2-O,-12.372,8.095,0.146,,0.397,2.3,,,,,,
,-12.239,7.995,0.248,,,,,,,,,
,-12.261,8.006,0.103,,,,,,,,,
QD1/2-I,-14.26,8.834,-1.607,,,,,,,,,
,-14.188,8.721,-1.707,,,,,,,,,
,-14.214,8.739,-1.675,,,,,,,,,
QV-O,-14.285,8.679,-1.874,,4.71,12.4,,,,,,
,-14.158,8.779,-1.695,,,,,,,,,
,-14.234,8.69,-1.961,,,,,,,,,
QV-I,-15.912,6.548,-5.148,,,,,,,,,
,-16.047,6.428,-5.166,,,,,,,,,
,-16.068,6.544,-5.083,,,,,,,,,
POD-O,-7.987,4.274,0.324,,0.949,2.4,,,,,,
,-7.98,4.321,0.272,,,,,,,,,
,-8.018,4.411,0.248,,,,,,,,,
POD-I,-14.072,7.549,-0.377,,,,,,,,,
,-14.02,7.542,-0.289,,,,,,,,,
,-13.95,7.522,-0.079,,,,,,,,,
QD3-O,-12.84,7.19,2.504,,0.898,2.3,,,,,,
,-12.946,7.193,2.478,,,,,,,,,
,-12.979,7.165,2.564,,,,,,,,,
QD3-I,-14.734,8.022,0.657,,,,,,,,,
,-14.773,8.105,0.751,,,,,,,,,
,-14.841,8.187,0.701,,,,,,,,,
QD4-O,-13.984,7.923,-1.306,,0.692,0.8,,,,,,
,-13.99,7.985,-1.291,,,,,,,,,
,-14.007,7.858,-1.294,,,,,,,,,
QD4-I,-14.605,7.743,-2.108,,,,,,,,,
,-14.584,7.786,-2.034,,,,,,,,,
,-14.582,7.702,-2.055,,,,,,,,,
ABP,-8.532,0.314,-2.608,,,,,,,,,
,-8.759,0.516,-2.709,,,,,,,,,
,-8.596,0.548,-2.585,,,,,,,,,
PBP,-13.085,6.624,-1.732,,,,,,,,,
,-13.083,6.601,-1.768,,,,,,,,,
,-13.044,6.571,-1.781,,,,,,,,,
JJ,-14.532,7.53,-1.051,,,,,,,,,
,-14.527,7.537,-1.057,,,,,,,,,
,-14.538,7.58,-1.039,,,,,,,,,
