Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.08,5.267,0.611,,3.751,23.3,12.093,61.362,31.3,23.2,15.7,160.7
,-8.088,5.294,0.661,,,,,,,,,
,-8.128,5.27,0.653,,,,,,,,,
POV-I,-18.728,10.259,-4.287,,,,,,,,,
,-18.758,10.364,-4.257,,,,,,,,,
,-18.713,10.304,-4.26,,,,,,,,,
QD1-O,-15.335,11.316,1.024,,2.036,8.6,,,,,,
,-15.418,11.425,1.022,,,,,,,,,
,-15.514,11.513,0.953,,,,,,,,,
QD1-I,-18.895,11.709,-3.278,,,,,,,,,
,-18.803,11.726,-3.177,,,,,,,,,
,-18.812,11.693,-3.188,,,,,,,,,
QV-O,-19.245,11.859,-3.19,,13.3,46.4,,,,,,
,-19.167,11.872,-3.163,,,,,,,,,
,-19.179,11.857,-3.165,,,,,,,,,
QV-I,-23.086,9.024,-5.048,,,,,,,,,
,-23,9.12,-5.078,,,,,,,,,
,-22.965,9.059,-5.065,,,,,,,,,
POD-O,-10.6,6.634,-0.788,,1.464,7.4,,,,,,
,-10.557,6.587,-0.818,,,,,,,,,
,-10.558,6.579,-0.816,,,,,,,,,
POD-I,-18.674,10.157,-4.39,,,,,,,,,
,-18.8,10.046,-4.49,,,,,,,,,
,-18.687,10.09,-4.488,,,,,,,,,
QD2-O,-16.097,11.813,0.601,,1.446,5.4,,,,,,
,-16.217,11.872,0.46,,,,,,,,,
,-16.333,11.946,0.441,,,,,,,,,
QD2-I,-19.145,11.395,-3.076,,,,,,,,,
,-19.145,11.404,-3.03,,,,,,,,,
,-19.149,11.368,-3.065,,,,,,,,,
QD3-O,-17.411,12.166,-0.035,,2.136,9.8,,,,,,
,-17.552,12.127,-0.137,,,,,,,,,
,-17.661,12.283,-0.165,,,,,,,,,
QD3-I,-19.264,11.28,-2.634,,,,,,,,,
,-19.326,11.282,-2.818,,,,,,,,,
,-19.324,11.301,-2.827,,,,,,,,,
QD4-O,-17.93,11.126,-0.924,,1.3,2.9,,,,,,
,-18.017,11.208,-0.951,,,,,,,,,
,-17.889,11.07,-0.916,,,,,,,,,
QD4-I,-19.563,10.488,-2.801,,,,,,,,,
,-19.552,10.465,-2.85,,,,,,,,,
,-19.559,10.498,-2.826,,,,,,,,,
ABP,-10.879,0.744,-3.926,,,,,,,,,
,-10.879,0.744,-3.926,,,,,,,,,
,-10.891,0.753,-3.952,,,,,,,,,
PBP,-16.468,8.251,-2.735,,,,,,,,,
,-16.38,8.232,-2.722,,,,,,,,,
,-16.364,8.242,-2.744,,,,,,,,,
JJ,-19.113,10.125,-0.867,,,,,,,,,
,-19.077,10.201,-0.843,,,,,,,,,
,-19.205,10.213,-0.81,,,,,,,,,
