Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.348,5.713,0.237,,3.501,23.1,14.164,82.269,32.1,23.2,17.2,171.1
,-8.298,5.721,0.139,,,,,,,,,
,-8.343,5.73,0.245,,,,,,,,,
POV-I,-20.179,10.281,-4.636,,,,,,,,,
,-20.161,10.277,-4.669,,,,,,,,,
,-20.181,10.27,-4.646,,,,,,,,,
QD1-O,-16.689,10.929,0.109,,1.924,8.8,,,,,,
,-16.674,10.962,0.073,,,,,,,,,
,-16.624,10.901,0.183,,,,,,,,,
QD1-I,-20.475,11.578,-3.452,,,,,,,,,
,-20.371,11.607,-3.388,,,,,,,,,
,-20.401,11.554,-3.391,,,,,,,,,
QV-O,-20.879,11.768,-3.493,,10.529,47,,,,,,
,-20.934,11.816,-3.455,,,,,,,,,
,-20.918,11.824,-3.415,,,,,,,,,
QV-I,-24.227,9.018,-6.363,,,,,,,,,
,-24.29,9.019,-6.352,,,,,,,,,
,-24.202,8.941,-6.368,,,,,,,,,
POD-O,-11.171,6.393,-1.37,,1.501,8.4,,,,,,
,-11.092,6.286,-1.388,,,,,,,,,
,-11.087,6.312,-1.378,,,,,,,,,
POD-I,-19.723,9.991,-5.151,,,,,,,,,
,-19.694,10.026,-5.095,,,,,,,,,
,-19.671,9.983,-5.074,,,,,,,,,
QD2-O,-18.056,11.331,-0.368,,1.126,4.2,,,,,,
,-18.233,11.444,-0.438,,,,,,,,,
,-18.272,11.454,-0.47,,,,,,,,,
QD2-I,-20.497,11.196,-3.819,,,,,,,,,
,-20.506,11.194,-3.729,,,,,,,,,
,-20.457,11.196,-3.689,,,,,,,,,
QD3-O,-17.039,10.786,-0.344,,1.249,7.3,,,,,,
,-17.103,10.815,-0.335,,,,,,,,,
,-17.327,10.928,-0.352,,,,,,,,,
QD3-I,-20.377,10.943,-3.596,,,,,,,,,
,-20.286,10.928,-3.452,,,,,,,,,
,-20.525,11.002,-3.412,,,,,,,,,
QD4-O,-19.483,10.8,-2.012,,1.302,3.4,,,,,,
,-19.516,10.804,-2.011,,,,,,,,,
,-19.488,10.818,-2.008,,,,,,,,,
QD4-I,-20.867,10.444,-3.683,,,,,,,,,
,-20.863,10.428,-3.675,,,,,,,,,
,-20.844,10.355,-3.713,,,,,,,,,
ABP,-11.117,0.44,-5.315,,,,,,,,,
,-11.097,0.697,-5.481,,,,,,,,,
,-11.085,0.666,-5.557,,,,,,,,,
PBP,-17.36,8.5,-3.721,,,,,,,,,
,-17.402,8.528,-3.764,,,,,,,,,
,-17.396,8.508,-3.748,,,,,,,,,
JJ,-20.329,9.776,-2.018,,,,,,,,,
,-20.394,9.797,-2,,,,,,,,,
,-20.42,9.788,-1.984,,,,,,,,,
