Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-7.454,4.326,0.611,,2.097,10.5,11.208,84.463,25.9,17.6,,129.1
,-7.412,4.335,0.668,,,,,,,,,
,-7.378,4.347,0.679,,,,,,,,,
POV-I,-16.975,7.749,-1.979,,,,,,,,,
,-16.984,7.718,-2.044,,,,,,,,,
,-16.889,7.727,-1.954,,,,,,,,,
QD1-O,-14.66,8.353,1.704,,0.847,3.4,,,,,,
,-14.817,8.391,1.745,,,,,,,,,
,-14.839,8.409,1.742,,,,,,,,,
QD1-I,-17.728,8.854,-0.586,,,,,,,,,
,-17.606,8.857,-0.501,,,,,,,,,
,-17.537,8.842,-0.624,,,,,,,,,
QV-O,-17.915,8.908,-0.484,,6.823,20.4,,,,,,
,-17.764,8.863,-0.501,,,,,,,,,
,-17.762,8.891,-0.435,,,,,,,,,
QV-I,-19.96,6.847,-3.186,,,,,,,,,
,-19.98,6.821,-3.262,,,,,,,,,
,-20.007,6.849,-3.324,,,,,,,,,
POD-O,-9.306,5.155,-1.931,,0.882,3.3,,,,,,
,-9.257,5.102,-1.968,,,,,,,,,
,-9.206,5.058,-1.908,,,,,,,,,
POD-I,-16.569,7.513,-2.867,,,,,,,,,
,-16.594,7.568,-2.91,,,,,,,,,
,-16.549,7.541,-2.901,,,,,,,,,
QD2-O,-14.983,8.535,0.683,,1.58,2.6,,,,,,
,-14.888,8.512,0.688,,,,,,,,,
,-14.982,8.526,0.653,,,,,,,,,
QD2-I,-17.462,8.633,-1.344,,,,,,,,,
,-17.385,8.608,-1.288,,,,,,,,,
,-17.421,8.681,-1.227,,,,,,,,,
QD3-O,-14.529,8.282,0.683,,0.675,2.9,,,,,,
,-14.719,8.363,0.676,,,,,,,,,
,-14.685,8.433,0.849,,,,,,,,,
QD3-I,-17.149,8.239,-1.158,,,,,,,,,
,-17.244,8.259,-1.27,,,,,,,,,
,-17.266,8.289,-1.051,,,,,,,,,
QD4-O,-16.203,7.886,-0.394,,1.121,1.6,,,,,,
,-16.18,7.848,-0.34,,,,,,,,,
,-16.21,7.815,-0.317,,,,,,,,,
QD4-I,-17.333,8.06,-1.175,,,,,,,,,
,-17.289,8.042,-1.267,,,,,,,,,
,-17.36,8.034,-1.354,,,,,,,,,
ABP,-9.501,1.53,-4.515,,,,,,,,,
,-9.47,1.353,-4.467,,,,,,,,,
,-9.554,1.115,-4.495,,,,,,,,,
PBP,-14.612,6.629,-1.702,,,,,,,,,
,-14.47,6.531,-1.715,,,,,,,,,
,-14.484,6.55,-1.767,,,,,,,,,
JJ,-16.816,7.441,0.229,,,,,,,,,
,-16.786,7.4,0.186,,,,,,,,,
,-16.951,7.537,0.089,,,,,,,,,
