Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.207,6.006,-0.575,,8.48,53.4,8.794,47.598,30,25.2,18.8,165.4
,-6.147,5.969,-0.602,,,,,,,,,
,-6.215,5.939,-0.39,,,,,,,,,
POV-I,-18.343,9.054,-5.548,,,,,,,,,
,-18.43,9.054,-5.662,,,,,,,,,
,-18.312,9.065,-5.509,,,,,,,,,
QD1-O,-15.45,11.567,0.777,,4.847,21.5,,,,,,
,-15.319,11.513,0.735,,,,,,,,,
,-15.376,11.546,0.739,,,,,,,,,
QD1-I,-19.222,11.245,-4.446,,,,,,,,,
,-19.16,11.236,-4.372,,,,,,,,,
,-19.169,11.254,-4.383,,,,,,,,,
QV-O,-19.722,11.809,-4.022,,18.54,79.7,,,,,,
,-19.757,11.701,-4.111,,,,,,,,,
,-19.75,11.714,-4.126,,,,,,,,,
QV-I,-23.162,7.594,-6.854,,,,,,,,,
,-23.3,7.7,-6.805,,,,,,,,,
,-23.471,7.817,-6.715,,,,,,,,,
POD-O,-9.696,7.263,-1.373,,2.007,9.8,,,,,,
,-9.682,7.269,-1.356,,,,,,,,,
,-9.626,7.182,-1.239,,,,,,,,,
POD-I,-18.039,8.969,-5.075,,,,,,,,,
,-18.06,8.947,-5.054,,,,,,,,,
,-18.056,8.883,-5.004,,,,,,,,,
QD2-O,-16.33,11.913,0.888,,3.542,10.7,,,,,,
,-16.38,11.91,0.825,,,,,,,,,
,-16.308,11.88,0.821,,,,,,,,,
QD2-I,-19.48,11.249,-3.444,,,,,,,,,
,-19.45,11.29,-3.521,,,,,,,,,
,-19.482,11.3,-3.403,,,,,,,,,
QD3-O,-16.18,11.941,-1.397,,5.403,14.5,,,,,,
,-16.063,11.862,-1.402,,,,,,,,,
,-16.209,11.976,-1.382,,,,,,,,,
QD3-I,-18.756,11.084,-5.464,,,,,,,,,
,-18.742,11.192,-5.428,,,,,,,,,
,-18.761,11.118,-5.443,,,,,,,,,
QD4-O,-18.083,11.535,-3.622,,3.215,6,,,,,,
,-18.158,11.499,-3.666,,,,,,,,,
,-17.969,11.485,-3.575,,,,,,,,,
QD4-I,-19.356,10.844,-5.165,,,,,,,,,
,-19.278,10.644,-5.154,,,,,,,,,
,-19.292,10.619,-5.181,,,,,,,,,
ABP,-7.922,0.649,-7.203,,,,,,,,,
,-7.933,0.688,-7.332,,,,,,,,,
,-7.915,0.839,-7.215,,,,,,,,,
PBP,-15.785,8.855,-5.724,,,,,,,,,
,-15.631,8.754,-5.734,,,,,,,,,
,-15.855,8.848,-5.67,,,,,,,,,
JJ,-18.975,9.899,-3.667,,,,,,,,,
,-18.983,9.926,-3.788,,,,,,,,,
,-18.959,9.899,-3.745,,,,,,,,,
