Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.303,4.339,1.055,,2.526,14.6,7.796,80.494,21.6,20.1,11.9,127
,-5.329,4.308,0.963,,,,,,,,,
,-5.348,4.333,0.989,,,,,,,,,
POV-I,-13.199,7.284,-1.948,,,,,,,,,
,-13.236,7.224,-1.918,,,,,,,,,
,-13.235,7.159,-1.941,,,,,,,,,
QD1-O,-11.171,8.111,2.352,,1.642,5.8,,,,,,
,-11.231,8.141,2.333,,,,,,,,,
,-11.302,8.166,2.343,,,,,,,,,
QD1-I,-13.626,8.437,-0.499,,,,,,,,,
,-13.665,8.494,-0.526,,,,,,,,,
,-13.616,8.465,-0.514,,,,,,,,,
QV-O,-14.023,8.732,-0.302,,8.265,27.1,,,,,,
,-14.041,8.739,-0.345,,,,,,,,,
,-14.034,8.712,-0.402,,,,,,,,,
QV-I,-16.43,6.117,-2.75,,,,,,,,,
,-16.384,5.965,-2.843,,,,,,,,,
,-16.332,5.822,-2.891,,,,,,,,,
POD-O,-8.707,5.757,-1.058,,0.731,3,,,,,,
,-8.819,5.846,-1.09,,,,,,,,,
,-8.716,5.762,-1.044,,,,,,,,,
POD-I,-13.216,7.081,-2.553,,,,,,,,,
,-13.158,6.805,-2.602,,,,,,,,,
,-13.216,6.787,-2.519,,,,,,,,,
QD2-O,-11.908,8.394,0.786,,1.847,3.7,,,,,,
,-11.879,8.414,0.845,,,,,,,,,
,-11.958,8.408,0.773,,,,,,,,,
QD2-I,-14.092,8.095,-1.663,,,,,,,,,
,-14.163,8.097,-1.603,,,,,,,,,
,-14.163,7.997,-1.645,,,,,,,,,
QD3-O,-11.907,8.322,0.406,,1.352,4.4,,,,,,
,-12.007,8.291,0.345,,,,,,,,,
,-12.04,8.282,0.343,,,,,,,,,
QD3-I,-13.525,6.765,-2.076,,,,,,,,,
,-13.642,6.767,-2.022,,,,,,,,,
,-13.743,7.013,-1.998,,,,,,,,,
QD4-O,-12.858,7.357,-0.39,,0.945,1.8,,,,,,
,-12.896,7.385,-0.408,,,,,,,,,
,-13.855,6.667,-1.425,,,,,,,,,
QD4-I,-13.855,6.667,-1.425,,,,,,,,,
,-13.778,6.561,-1.43,,,,,,,,,
,-13.743,6.479,-1.444,,,,,,,,,
ABP,-6.814,-0.044,-2.563,,,,,,,,,
,-6.779,0.023,-2.686,,,,,,,,,
,-6.777,0.097,-2.719,,,,,,,,,
PBP,-11.982,5.844,-1.115,,,,,,,,,
,-12,5.841,-1.142,,,,,,,,,
,-12.029,5.848,-1.133,,,,,,,,,
JJ,-13.757,6.789,0.262,,,,,,,,,
,-13.754,6.778,0.258,,,,,,,,,
,-13.717,6.721,0.209,,,,,,,,,
