Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL,Body Mass
POV-O,-6.009,4.475,-0.22,,2.891,9.4,5.367,75.863,17.3,13.9,8.5,113.6,
,-6.009,4.475,-0.22,,,,,,,,,,
,-5.978,4.445,-0.134,,,,,,,,,,
POV-I,-12.036,4.521,-2.757,,,,,,,,,,
,-12.038,4.526,-2.709,,,,,,,,,,
,-12.029,4.514,-2.689,,,,,,,,,,
QD1-O,-11.15,5.902,-0.528,,1.021,1,,,,,,,
,-11.136,5.873,-0.562,,,,,,,,,,
,-11.168,5.897,-0.517,,,,,,,,,,
QD1-I,-12.589,5.573,-2.356,,,,,,,,,,
,-12.568,5.591,-2.368,,,,,,,,,,
,-12.579,5.626,-2.367,,,,,,,,,,
QV-O,-12.793,5.631,-2.409,,1.666,5.1,,,,,,,
,-12.724,5.42,-2.575,,,,,,,,,,
,-12.729,5.381,-2.615,,,,,,,,,,
QV-I,-13.103,3.292,-3.449,,,,,,,,,,
,-13.143,3.308,-3.419,,,,,,,,,,
,-13.149,3.385,-3.426,,,,,,,,,,
POD-O,-8.01,3.504,-0.096,,1.584,3.3,,,,,,,
,-8.031,3.519,-0.139,,,,,,,,,,
,-8.06,3.521,-0.131,,,,,,,,,,
POD-I,-11.976,4.675,-2.448,,,,,,,,,,
,-12.003,4.619,-2.382,,,,,,,,,,
,-11.953,4.575,-2.273,,,,,,,,,,
QD2-O,-11.544,5.808,-0.428,,0.908,1.3,,,,,,,
,-11.452,5.76,-0.388,,,,,,,,,,
,-11.455,5.77,-0.398,,,,,,,,,,
QD2-I,-12.769,5.247,-2.119,,,,,,,,,,
,-12.711,5.297,-1.99,,,,,,,,,,
,-12.624,5.224,-2.028,,,,,,,,,,
QD4-O,-12.537,5.608,0.615,,0.316,0.4,,,,,,,
,-12.637,5.667,0.59,,,,,,,,,,
,-12.484,5.8,0.422,,,,,,,,,,
QD4-I,-12.993,5.606,-0.159,,,,,,,,,,
,-12.963,5.544,-0.098,,,,,,,,,,
,-12.956,5.573,-0.136,,,,,,,,,,
ABP,-7.484,0.451,-1.596,,,,,,,,,,
,-7.537,0.391,-1.656,,,,,,,,,,
,-7.462,0.458,-1.513,,,,,,,,,,
PBP,-11.776,3.901,-0.826,,,,,,,,,,
,-11.689,3.848,-0.941,,,,,,,,,,
,-11.799,3.899,-0.897,,,,,,,,,,
JJ,-13.223,4.74,-0.395,,,,,,,,,,
,-13.19,4.724,-0.411,,,,,,,,,,
,-13.221,4.744,-0.423,,,,,,,,,,
