Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.261,2.29,-0.675,,1.038,1.5,3.492,71.146,11.3,6.1,4.7,68.6
,-4.262,2.234,-0.697,,,,,,,,,
,-4.266,2.219,-0.743,,,,,,,,,
POV-I,-7.836,2.368,-2.024,,,,,,,,,
,-7.82,2.395,-2.077,,,,,,,,,
,-7.851,2.382,-2.054,,,,,,,,,
QD1-O,-8.243,2.743,-2.076,,0.301,0.2,,,,,,
,-8.211,2.833,-2.166,,,,,,,,,
,-8.27,2.801,-2.157,,,,,,,,,
QD1-I,-7.886,3.116,-0.965,,,,,,,,,
,-7.916,3.108,-0.975,,,,,,,,,
,-7.93,3.094,-0.943,,,,,,,,,
QV-O,-8.194,2.648,-2.213,,0.512,0.7,,,,,,
,-8.183,2.637,-2.224,,,,,,,,,
,-8.21,2.621,-2.193,,,,,,,,,
QV-I,-8.175,1.528,-2.506,,,,,,,,,
,-8.189,1.516,-2.476,,,,,,,,,
,-8.176,1.469,-2.449,,,,,,,,,
POD-O,-5.938,1.841,-0.078,,0.351,0.5,,,,,,
,-5.987,1.777,-0.032,,,,,,,,,
,-5.988,1.835,-0.074,,,,,,,,,
POD-I,-8.084,1.954,-1.151,,,,,,,,,
,-8.087,1.991,-1.167,,,,,,,,,
,-8.11,2.005,-1.182,,,,,,,,,
QD2-O,-8.41,2.236,-1.142,,0.226,0.2,,,,,,
,-8.423,2.249,-1.129,,,,,,,,,
,-8.418,2.211,-1.11,,,,,,,,,
QD2-I,-7.978,2.827,-0.123,,,,,,,,,
,-8.009,2.842,-0.161,,,,,,,,,
,-7.925,2.82,-0.167,,,,,,,,,
QD4-O,-8.124,2.457,-0.519,,0.257,0.1,,,,,,
,-8.097,2.435,-0.502,,,,,,,,,
,-8.102,2.439,-0.491,,,,,,,,,
QD4-I,-8.431,2.248,-0.81,,,,,,,,,
,-8.447,2.244,-0.82,,,,,,,,,
,-8.436,2.194,-0.814,,,,,,,,,
ABP,-4.934,-0.021,-1.077,,,,,,,,,
,-4.921,0.028,-1.069,,,,,,,,,
,-4.937,0.066,-1.086,,,,,,,,,
PBP,-7.679,1.782,-0.847,,,,,,,,,
,-7.661,1.75,-0.885,,,,,,,,,
,-7.719,1.773,-0.875,,,,,,,,,
JJ,-8.401,2.015,-0.629,,,,,,,,,
,-8.381,2.025,-0.645,,,,,,,,,
,-8.435,2.027,-0.612,,,,,,,,,
