Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.244,2.698,0.158,,1.237,3.4,5.539,74.812,14.2,12.7,,79.1
,-3.218,2.77,0.125,,,,,,,,,
,-3.233,2.748,0.151,,,,,,,,,
POV-I,-7.209,4.86,-1.983,,,,,,,,,
,-7.223,4.736,-2.029,,,,,,,,,
,-7.179,4.738,-2.017,,,,,,,,,
QD1-O,-6.688,5.955,0.227,,0.463,0.8,,,,,,
,-6.739,5.971,0.285,,,,,,,,,
,-6.746,6.004,0.205,,,,,,,,,
QD1-I,-7.908,6.011,-1.482,,,,,,,,,
,-7.969,6.031,-1.414,,,,,,,,,
,-7.954,6.06,-1.402,,,,,,,,,
QV-O,-8.014,6.22,-1.209,,3.253,6.1,,,,,,
,-8.051,6.314,-1.281,,,,,,,,,
,-8.028,6.273,-1.2,,,,,,,,,
QV-I,-10.21,4.674,-3.1,,,,,,,,,
,-10.29,4.672,-3.054,,,,,,,,,
,-10.203,4.718,-3.133,,,,,,,,,
POD-O,-4.65,3.596,-0.343,,0.264,0.8,,,,,,
,-4.6,3.667,-0.35,,,,,,,,,
,-4.568,3.597,-0.356,,,,,,,,,
POD-I,-8.115,4.945,-1.568,,,,,,,,,
,-8.061,4.998,-1.725,,,,,,,,,
,-8.071,4.893,-1.644,,,,,,,,,
QD2-O,-6.921,5.9,0.878,,0.531,0.8,,,,,,
,-6.906,5.889,0.818,,,,,,,,,
,-6.95,5.89,0.813,,,,,,,,,
QD2-I,-8.427,5.884,-0.642,,,,,,,,,
,-8.411,5.949,-0.665,,,,,,,,,
,-8.461,5.779,-0.623,,,,,,,,,
QD3-O,-6.854,5.745,-0.086,,0.306,0.6,,,,,,
,-6.933,5.783,-0.125,,,,,,,,,
,-6.896,5.757,-0.153,,,,,,,,,
QD3-I,-8.463,5.583,-1.565,,,,,,,,,
,-8.491,5.44,-1.41,,,,,,,,,
,-8.477,5.317,-1.436,,,,,,,,,
QD4-O,-8.043,5.889,-0.812,,0.243,0.2,,,,,,
,-8.006,5.848,-0.754,,,,,,,,,
,-8.001,5.854,-0.802,,,,,,,,,
QD4-I,-8.7,5.589,-1.459,,,,,,,,,
,-8.649,5.704,-1.516,,,,,,,,,
,-8.701,5.651,-1.491,,,,,,,,,
ABP,-4.493,0.533,-2.018,,,,,,,,,
,-4.478,0.499,-1.997,,,,,,,,,
,-4.507,0.54,-1.912,,,,,,,,,
PBP,-7.344,4.451,-1.39,,,,,,,,,
,-7.342,4.454,-1.399,,,,,,,,,
,-7.343,4.444,-1.371,,,,,,,,,
JJ,-8.586,5.423,-0.535,,,,,,,,,
,-8.627,5.4,-0.58,,,,,,,,,
,-8.641,5.378,-0.522,,,,,,,,,
