Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL,Body Mass
POV-O,-3.737,2.267,0.194,,0.484,0.84,3.403,88.51,9.6,5.4,3.8,51.7,0.54
,-3.726,2.312,0.196,,,,,,,,,,
,-3.768,2.258,0.159,,,,,,,,,,
POV-I,-6.848,2.265,-0.734,,,,,,,,,,
,-6.854,2.237,-0.739,,,,,,,,,,
,-6.871,2.26,-0.727,,,,,,,,,,
QD1-O,-6.578,2.6,0.3,,0.101,0.11,,,,,,,
,-6.583,2.595,0.26,,,,,,,,,,
,-6.506,2.576,0.284,,,,,,,,,,
QD1-I,-7.153,2.519,-0.529,,,,,,,,,,
,-7.126,2.577,-0.464,,,,,,,,,,
,-7.162,2.57,-0.426,,,,,,,,,,
QV-O,-7.202,2.509,-0.589,,0.364,0.36,,,,,,,
,-7.217,2.504,-0.626,,,,,,,,,,
,-7.218,2.558,-0.586,,,,,,,,,,
QV-I,-7.23,1.617,-1.019,,,,,,,,,,
,-7.213,1.659,-0.994,,,,,,,,,,
,-7.25,1.591,-1.027,,,,,,,,,,
POD-O,-4.753,1.712,0.408,,0.313,0.44,,,,,,,
,-4.794,1.756,0.358,,,,,,,,,,
,-4.742,1.746,0.462,,,,,,,,,,
POD-I,-6.938,2.131,-0.266,,,,,,,,,,
,-6.909,2.125,-0.246,,,,,,,,,,
,-6.912,2.111,-0.274,,,,,,,,,,
QD2-O,-6.799,2.529,0.647,,0.118,0.09,,,,,,,
,-6.828,2.492,0.629,,,,,,,,,,
,-6.866,2.503,0.675,,,,,,,,,,
QD2-I,-7.234,2.262,0.078,,,,,,,,,,
,-7.229,2.266,0.074,,,,,,,,,,
,-7.225,2.259,0.051,,,,,,,,,,
QD4-O,-6.866,2.322,-0.226,,0.059,0.02,,,,,,,
,-6.846,2.319,-0.218,,,,,,,,,,
,-6.846,2.348,-0.231,,,,,,,,,,
QD4-I,-7.115,2.122,-0.479,,,,,,,,,,
,-7.139,2.162,-0.488,,,,,,,,,,
,-7.134,2.172,-0.498,,,,,,,,,,
ABP,-4.327,0.31,-0.611,,,,,,,,,,
,-4.325,0.36,-0.61,,,,,,,,,,
,-4.33,0.381,-0.621,,,,,,,,,,
PBP,-6.357,1.666,-0.259,,,,,,,,,,
,-6.369,1.68,-0.259,,,,,,,,,,
,-6.399,1.684,-0.255,,,,,,,,,,
JJ,-7.134,2.037,0.044,,,,,,,,,,
,-7.164,2.062,0.046,,,,,,,,,,
,-7.158,2.031,0.04,,,,,,,,,,
