Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.903,3.692,0.484,,1.719,4.5,8.851,82.743,15.2,12.1,,86
,-3.874,3.713,0.516,,,,,,,,,
,-3.728,3.735,0.574,,,,,,,,,
POV-I,-9.265,5.696,-1.032,,,,,,,,,
,-9.344,5.929,-0.908,,,,,,,,,
,-9.316,5.878,-0.921,,,,,,,,,
QD1/2-O,-7.578,6.193,1.807,,0.933,1.5,,,,,,
,-7.567,6.174,1.908,,,,,,,,,
,-7.591,6.168,1.978,,,,,,,,,
QD1/2-I,-9.472,6.706,0.008,,,,,,,,,
,-9.6,6.759,0.156,,,,,,,,,
,-9.609,6.834,0.226,,,,,,,,,
QV-O,-9.538,6.574,-0.056,,3.49,7.7,,,,,,
,-9.553,6.664,0.099,,,,,,,,,
,-9.512,6.654,0.057,,,,,,,,,
QV-I,-11.398,5.087,-1.872,,,,,,,,,
,-11.486,5.328,-1.671,,,,,,,,,
,-11.538,5.422,-1.586,,,,,,,,,
POD-O,-4.876,3.831,0.644,,0.504,1,,,,,,
,-4.831,3.81,0.769,,,,,,,,,
,-4.782,3.706,0.762,,,,,,,,,
POD-I,-9.459,5.861,-0.986,,,,,,,,,
,-9.422,5.846,-1.042,,,,,,,,,
,-9.417,5.84,-1.01,,,,,,,,,
QD3-O,-7.863,6.32,1.724,,1.568,2.6,,,,,,
,-7.856,6.296,1.684,,,,,,,,,
,-7.883,6.253,1.693,,,,,,,,,
QD3-I,-9.494,6.501,-0.305,,,,,,,,,
,-9.61,6.581,-0.223,,,,,,,,,
,-9.586,6.517,-0.141,,,,,,,,,
QD4-O,-9.283,6.261,0.528,,0.322,0.3,,,,,,
,-9.263,6.21,0.524,,,,,,,,,
,-9.27,6.244,0.51,,,,,,,,,
QD4-I,-9.749,5.952,-0.223,,,,,,,,,
,-9.767,5.959,-0.219,,,,,,,,,
,-9.718,5.987,-0.085,,,,,,,,,
ABP,-5.002,0.861,-1.927,,,,,,,,,
,-4.76,0.436,-2.017,,,,,,,,,
,-4.997,0.003,-2.016,,,,,,,,,
PBP,-8.309,4.987,-0.475,,,,,,,,,
,-8.316,5.027,-0.468,,,,,,,,,
,-8.256,4.979,-0.477,,,,,,,,,
JJ,-9.581,5.632,0.299,,,,,,,,,
,-9.536,5.643,0.312,,,,,,,,,
,-9.515,5.644,0.34,,,,,,,,,
