Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.549,3.7,-0.106,,2.135,6.3,6.236,78.727,15.1,11.3,7.3,99
,-5.595,3.718,-0.17,,,,,,,,,
,-5.54,3.696,-0.063,,,,,,,,,
POV-I,-11.059,4.004,-2.376,,,,,,,,,
,-11.085,4.089,-2.4,,,,,,,,,
,-11.143,3.995,-2.355,,,,,,,,,
QD1-O,-10.298,4.947,-0.285,,0.346,0.8,,,,,,
,-10.298,4.947,-0.285,,,,,,,,,
,-10.295,4.941,-0.289,,,,,,,,,
QD1-I,-11.368,4.341,-2.277,,,,,,,,,
,-11.362,4.31,-2.286,,,,,,,,,
,-11.379,4.334,-2.268,,,,,,,,,
QV-O,-11.669,4.521,-2.309,,1.528,3,,,,,,
,-11.606,4.573,-2.317,,,,,,,,,
,-11.645,4.56,-2.297,,,,,,,,,
QV-I,-12.026,2.906,-2.774,,,,,,,,,
,-11.98,2.916,-2.808,,,,,,,,,
,-11.945,2.985,-2.836,,,,,,,,,
POD-O,-7.595,2.849,0.204,,0.868,2.5,,,,,,
,-7.608,2.776,0.242,,,,,,,,,
,-7.621,2.803,0.214,,,,,,,,,
POD-I,-11.292,3.765,-1.528,,,,,,,,,
,-11.274,3.752,-1.531,,,,,,,,,
,-11.317,3.741,-1.475,,,,,,,,,
QD2-O,-11.107,4.78,-0.19,,0.426,0.7,,,,,,
,-11.104,4.81,-0.171,,,,,,,,,
,-11.163,4.786,-0.228,,,,,,,,,
QD2-I,-12.019,4.196,-1.216,,,,,,,,,
,-11.989,4.215,-1.197,,,,,,,,,
,-11.958,4.179,-1.175,,,,,,,,,
QD4-O,-11.006,4.488,-0.61,,0.236,0.3,,,,,,
,-11.113,4.58,-0.624,,,,,,,,,
,-11.049,4.528,-0.63,,,,,,,,,
QD4-I,-11.632,4.159,-1.243,,,,,,,,,
,-11.626,4.171,-1.283,,,,,,,,,
,-11.591,4.152,-1.337,,,,,,,,,
ABP,-6.394,0.164,-1.433,,,,,,,,,
,-6.424,0.149,-1.458,,,,,,,,,
,-6.347,0.051,-1.429,,,,,,,,,
PBP,-10.122,3.186,-1.267,,,,,,,,,
,-10.118,3.19,-1.322,,,,,,,,,
,-10.067,3.166,-1.291,,,,,,,,,
JJ,-11.495,3.923,-0.977,,,,,,,,,
,-11.503,3.916,-0.915,,,,,,,,,
,-11.505,3.862,-0.913,,,,,,,,,
