Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.793,3.97,-0.44,,1.39,6.2,8.275,81.768,21.9,15.7,11.2,116.1
,-5.831,3.894,-0.395,,,,,,,,,
,-5.821,3.776,-0.469,,,,,,,,,
POV-I,-13.586,6.851,-3.521,,,,,,,,,
,-13.569,6.884,-3.511,,,,,,,,,
,-13.636,6.835,-3.577,,,,,,,,,
QD1-O,-11.41,7.974,-0.335,,1.029,2.2,,,,,,
,-11.42,7.983,-0.371,,,,,,,,,
,-11.403,7.993,-0.41,,,,,,,,,
QD1-I,-13.868,8.099,-2.784,,,,,,,,,
,-13.806,8.149,-2.822,,,,,,,,,
,-13.841,8.145,-2.842,,,,,,,,,
QV-O,-14.102,8.273,-2.732,,4.203,12.4,,,,,,
,-14.081,8.289,-2.828,,,,,,,,,
,-14.028,8.245,-2.878,,,,,,,,,
QV-I,-16.699,6.69,-4.085,,,,,,,,,
,-16.642,6.702,-4.059,,,,,,,,,
,-16.826,6.893,-4.058,,,,,,,,,
POD-O,-7.745,4.582,-1.333,,0.843,2.5,,,,,,
,-7.71,4.556,-1.31,,,,,,,,,
,-7.624,4.497,-1.308,,,,,,,,,
POD-I,-13.4,6.926,-4.101,,,,,,,,,
,-13.314,6.901,-3.877,,,,,,,,,
,-13.384,6.957,-3.947,,,,,,,,,
QD2-O,-12.459,8.187,-0.805,,0.955,1.8,,,,,,
,-12.439,8.197,-0.783,,,,,,,,,
,-12.429,8.2,-0.761,,,,,,,,,
QD2-I,-13.993,8.075,-3.047,,,,,,,,,
,-14.025,8.12,-2.886,,,,,,,,,
,-13.966,8.098,-2.961,,,,,,,,,
QD3-O,-12.729,7.949,-0.769,,0.915,2.1,,,,,,
,-12.956,8.032,-0.889,,,,,,,,,
,-12.829,7.963,-0.872,,,,,,,,,
QD3-I,-14.285,7.711,-2.525,,,,,,,,,
,-14.332,7.73,-2.541,,,,,,,,,
,-14.291,7.721,-2.482,,,,,,,,,
QD4-O,-13.466,7.848,-1.715,,0.468,0.7,,,,,,
,-13.535,7.884,-1.665,,,,,,,,,
,-13.492,7.865,-1.65,,,,,,,,,
QD4-I,-14.227,7.662,-2.603,,,,,,,,,
,-14.215,7.595,-2.643,,,,,,,,,
,-14.186,7.503,-2.67,,,,,,,,,
ABP,-7.661,1.738,-3.518,,,,,,,,,
,-7.655,1.82,-3.52,,,,,,,,,
,-7.659,1.813,-3.492,,,,,,,,,
PBP,-12.387,6.504,-2.73,,,,,,,,,
,-12.425,6.542,-2.778,,,,,,,,,
,-12.417,6.526,-2.758,,,,,,,,,
JJ,-14.255,7.497,-1.815,,,,,,,,,
,-14.234,7.499,-1.863,,,,,,,,,
,-14.253,7.498,-1.756,,,,,,,,,
