Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.455,2.495,0.648,,1.831,4.5,4.445,87.076,14.8,10.5,7.4,100.9
,-6.451,2.489,0.646,,,,,,,,,
,-6.449,2.482,0.621,,,,,,,,,
POV-I,-11.916,2.705,-0.881,,,,,,,,,
,-12.018,2.687,-0.78,,,,,,,,,
,-11.981,2.63,-0.792,,,,,,,,,
QD1/2-O,-11.397,2.566,1.123,,0.64,0.6,,,,,,
,-11.335,2.465,1.086,,,,,,,,,
,-11.29,2.478,1.094,,,,,,,,,
QD1/2-I,-12.427,2.839,-0.371,,,,,,,,,
,-12.354,2.859,-0.465,,,,,,,,,
,-12.333,2.836,-0.346,,,,,,,,,
QV-O,-12.483,2.764,-0.358,,1.726,2.3,,,,,,
,-12.444,2.715,-0.305,,,,,,,,,
,-12.478,2.772,-0.171,,,,,,,,,
QV-I,-12.18,1.403,-2.001,,,,,,,,,
,-12.258,1.227,-1.996,,,,,,,,,
,-12.18,1.3,-1.973,,,,,,,,,
POD-O,-7.965,4.233,-0.785,,0.95,2,,,,,,
,-8.065,4.291,-0.827,,,,,,,,,
,-8.005,4.321,-0.898,,,,,,,,,
POD-I,-10.995,4.935,-2.702,,,,,,,,,
,-11.067,5.023,-2.594,,,,,,,,,
,-10.849,4.938,-2.567,,,,,,,,,
QD3-O,-11.027,5.528,-1.294,,0.29,0.3,,,,,,
,-11.058,5.517,-1.358,,,,,,,,,
,-11.059,5.531,-1.322,,,,,,,,,
QD3-I,-11.486,5.358,-2.513,,,,,,,,,
,-11.547,5.338,-2.519,,,,,,,,,
,-11.586,5.299,-2.51,,,,,,,,,
QD4-O,-11.305,4.48,-1.298,,0.465,0.3,,,,,,
,-11.33,4.546,-1.25,,,,,,,,,
,-11.31,4.531,-1.223,,,,,,,,,
QD4-I,-11.43,3.723,-2.285,,,,,,,,,
,-11.567,3.831,-2.21,,,,,,,,,
,-11.528,3.81,-2.239,,,,,,,,,
ABP,-6.225,0.875,-1.953,,,,,,,,,
,-6.277,0.703,-2.105,,,,,,,,,
,-6.227,0.702,-2.02,,,,,,,,,
PBP,-10.545,3.505,-1.579,,,,,,,,,
,-10.463,3.458,-1.655,,,,,,,,,
,-10.444,3.447,-1.597,,,,,,,,,
JJ,-11.695,3.706,-1.434,,,,,,,,,
,-11.77,3.756,-1.375,,,,,,,,,
,-11.755,3.753,-1.349,,,,,,,,,
