Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.281,4.656,-1.338,,3.345,19.3,11.294,85.193,29.5,21.7,14.7,145.2
,-8.276,4.759,-1.311,,,,,,,,,
,-8.366,4.641,-1.029,,,,,,,,,
POV-I,-18.667,8.458,-6.961,,,,,,,,,
,-18.672,8.326,-6.932,,,,,,,,,
,-18.784,8.4,-7.032,,,,,,,,,
QD1-O,-16.251,9.887,-2.355,,2.261,7.9,,,,,,
,-16.246,9.873,-2.36,,,,,,,,,
,-16.313,9.932,-2.372,,,,,,,,,
QD1-I,-19.457,10.028,-5.877,,,,,,,,,
,-19.409,9.983,-5.897,,,,,,,,,
,-19.395,9.971,-5.876,,,,,,,,,
QV-O,-19.71,10.228,-5.659,,10.167,41.7,,,,,,
,-19.677,10.145,-5.569,,,,,,,,,
,-19.692,10.123,-5.528,,,,,,,,,
QV-I,-22.552,7.387,-8.535,,,,,,,,,
,-22.595,7.403,-8.545,,,,,,,,,
,-22.567,7.354,-8.497,,,,,,,,,
POD-O,-10.666,5.427,-2.079,,1.24,7.2,,,,,,
,-10.591,5.342,-1.947,,,,,,,,,
,-10.574,5.323,-1.923,,,,,,,,,
POD-I,-18.574,8.234,-6.352,,,,,,,,,
,-18.661,8.213,-6.386,,,,,,,,,
,-18.592,8.206,-6.255,,,,,,,,,
QD2-O,-17.054,10.018,-1.867,,1.769,4.2,,,,,,
,-17.135,10.103,-1.809,,,,,,,,,
,-17.201,10.109,-1.859,,,,,,,,,
QD2-I,-19.593,9.974,-5.606,,,,,,,,,
,-19.626,9.836,-5.494,,,,,,,,,
,-19.689,9.969,-5.289,,,,,,,,,
QD3-O,-17.304,9.973,-2.368,,1.986,4.7,,,,,,
,-17.521,10.007,-2.485,,,,,,,,,
,-17.509,9.961,-2.514,,,,,,,,,
QD3-I,-19.295,9.102,-5.595,,,,,,,,,
,-19.263,8.737,-5.254,,,,,,,,,
,-19.108,8.58,-5.408,,,,,,,,,
QD4-O,-18.803,9.414,-3.935,,1.475,2.6,,,,,,
,-18.717,9.427,-3.876,,,,,,,,,
,-18.725,9.418,-3.874,,,,,,,,,
QD4-I,-19.686,8.874,-5.479,,,,,,,,,
,-19.688,8.706,-5.451,,,,,,,,,
,-19.693,8.719,-5.42,,,,,,,,,
ABP,-10.322,0.543,-5.404,,,,,,,,,
,-10.554,0.577,-5.321,,,,,,,,,
,-10.668,0.91,-5.246,,,,,,,,,
PBP,-16.718,7.084,-5.159,,,,,,,,,
,-16.659,7.124,-5.127,,,,,,,,,
,-16.642,7.128,-5.169,,,,,,,,,
JJ,-19.481,8.36,-3.96,,,,,,,,,
,-19.475,8.32,-3.988,,,,,,,,,
,-19.514,8.327,-3.931,,,,,,,,,
