Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.364,3.728,0.135,,1.26,4.5,5.39,67.169,13.4,13.3,,83.6
,-3.327,3.705,0.008,,,,,,,,,
,-3.398,3.667,-0.006,,,,,,,,,
POV-I,-8.54,5.867,-2.548,,,,,,,,,
,-8.616,5.834,-2.584,,,,,,,,,
,-8.546,5.751,-2.589,,,,,,,,,
QD1-O,-6.934,6.73,0.432,,0.581,2,,,,,,
,-6.967,6.76,0.396,,,,,,,,,
,-6.981,6.785,0.368,,,,,,,,,
QD1-I,-8.801,6.864,-1.968,,,,,,,,,
,-8.72,6.825,-1.908,,,,,,,,,
,-8.734,6.861,-1.959,,,,,,,,,
QV-O,-8.985,6.858,-2.005,,4.078,8,,,,,,
,-8.985,6.744,-2.088,,,,,,,,,
,-8.975,6.808,-2.024,,,,,,,,,
QV-I,-10.848,4.815,-2.824,,,,,,,,,
,-10.816,4.826,-2.813,,,,,,,,,
,-10.821,4.792,-2.833,,,,,,,,,
POD-O,-4.528,4.016,-0.261,,0.574,1,,,,,,
,-4.528,4.106,-0.306,,,,,,,,,
,-4.548,4.155,-0.37,,,,,,,,,
POD-I,-8.079,5.702,-2.108,,,,,,,,,
,-8.163,5.605,-2.043,,,,,,,,,
,-8.221,5.612,-2.159,,,,,,,,,
QD2-O,-7.811,7.337,0.261,,0.766,1.4,,,,,,
,-7.797,7.322,0.164,,,,,,,,,
,-7.777,7.337,0.199,,,,,,,,,
QD2-I,-9.037,7.149,-1.653,,,,,,,,,
,-9.002,7.226,-1.696,,,,,,,,,
,-9.051,7.181,-1.594,,,,,,,,,
QD3-O,-7.109,6.845,0.151,,0.301,1.1,,,,,,
,-7.146,6.945,0.129,,,,,,,,,
,-7.137,6.911,0.13,,,,,,,,,
QD3-I,-8.976,6.303,-1.084,,,,,,,,,
,-8.967,6.276,-1.105,,,,,,,,,
,-8.896,6.311,-1.115,,,,,,,,,
QD4-O,-8.358,6.841,-1.298,,0.216,0.3,,,,,,
,-8.279,6.789,-1.286,,,,,,,,,
,-8.328,6.753,-1.265,,,,,,,,,
QD4-I,-8.978,6.273,-1.897,,,,,,,,,
,-8.963,6.271,-1.898,,,,,,,,,
,-8.991,6.322,-1.825,,,,,,,,,
ABP,-4.887,0.43,-1.869,,,,,,,,,
,-4.929,0.439,-2.041,,,,,,,,,
,-4.924,0.449,-1.974,,,,,,,,,
PBP,-7.908,5.307,-1.931,,,,,,,,,
,-7.965,5.381,-1.822,,,,,,,,,
,-7.949,5.329,-1.869,,,,,,,,,
JJ,-8.84,6.325,-1.291,,,,,,,,,
,-8.811,6.379,-1.235,,,,,,,,,
,-8.82,6.317,-1.209,,,,,,,,,
