Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.598,2.897,0.706,,0.824,3.1,4.56,80.517,13.3,9.5,5.7,84.3
,-4.569,2.921,0.693,,,,,,,,,
,-4.55,2.888,0.643,,,,,,,,,
POV-I,-8.997,3.667,-0.345,,,,,,,,,
,-8.936,3.652,-0.304,,,,,,,,,
,-8.929,3.736,-0.289,,,,,,,,,
QD1-O,-8.51,4.058,1.333,,0.121,0.3,,,,,,
,-8.42,4.013,1.332,,,,,,,,,
,-8.524,4.067,1.298,,,,,,,,,
QD1-I,-9.573,4.171,-0.114,,,,,,,,,
,-9.573,4.133,-0.13,,,,,,,,,
,-9.556,4.114,-0.166,,,,,,,,,
QV-O,-9.538,4.095,-0.208,,0.924,1.4,,,,,,
,-9.621,4.09,-0.23,,,,,,,,,
,-9.66,4.113,-0.188,,,,,,,,,
QV-I,-9.807,3.035,-0.987,,,,,,,,,
,-9.801,3.078,-1.025,,,,,,,,,
,-9.85,3.05,-0.977,,,,,,,,,
POD-O,-6.374,2.422,0.498,,0.603,1.2,,,,,,
,-6.376,2.444,0.491,,,,,,,,,
,-6.383,2.442,0.514,,,,,,,,,
POD-I,-9.114,3.304,-0.615,,,,,,,,,
,-9.038,3.288,-0.677,,,,,,,,,
,-9.04,3.243,-0.577,,,,,,,,,
QD2-O,-9.002,3.814,0.709,,0.209,0.5,,,,,,
,-8.997,3.836,0.667,,,,,,,,,
,-9.079,3.844,0.688,,,,,,,,,
QD2-I,-9.682,3.717,-0.546,,,,,,,,,
,-9.697,3.715,-0.538,,,,,,,,,
,-9.725,3.672,-0.504,,,,,,,,,
QD4-O,-9.041,3.844,-0.042,,0.138,0.1,,,,,,
,-9.016,3.841,-0.016,,,,,,,,,
,-9.011,3.852,-0.007,,,,,,,,,
QD4-I,-9.398,3.662,-0.535,,,,,,,,,
,-9.405,3.666,-0.511,,,,,,,,,
,-9.386,3.634,-0.525,,,,,,,,,
ABP,-5.359,0.256,-0.803,,,,,,,,,
,-5.348,0.237,-0.844,,,,,,,,,
,-5.355,0.16,-0.885,,,,,,,,,
PBP,-8.361,2.887,-0.666,,,,,,,,,
,-8.372,2.867,-0.667,,,,,,,,,
,-8.364,2.856,-0.684,,,,,,,,,
JJ,-9.205,3.234,-0.216,,,,,,,,,
,-9.301,3.361,-0.25,,,,,,,,,
,-9.289,3.321,-0.304,,,,,,,,,
