Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.9,2.888,0.014,,0.778,1.5,2.748,59.17,9.8,7,4.5,66.4
,-3.918,2.833,-0.008,,,,,,,,,
,-3.94,2.845,0.014,,,,,,,,,
POV-I,-7.681,3.115,-0.749,,,,,,,,,
,-7.68,3.123,-0.735,,,,,,,,,
,-7.693,3.152,-0.721,,,,,,,,,
QD1-O,-7.348,3.656,0.564,,0.11,0.1,,,,,,
,-7.379,3.708,0.571,,,,,,,,,
,-7.376,3.7,0.533,,,,,,,,,
QD1-I,-7.924,3.509,-0.442,,,,,,,,,
,-7.89,3.479,-0.486,,,,,,,,,
,-7.875,3.478,-0.479,,,,,,,,,
QV-O,-7.988,3.586,-0.542,,0.138,0.5,,,,,,
,-7.973,3.617,-0.541,,,,,,,,,
,-7.989,3.599,-0.531,,,,,,,,,
QV-I,-8.201,2.326,-1.066,,,,,,,,,
,-8.271,2.306,-1.06,,,,,,,,,
,-8.27,2.343,-1.054,,,,,,,,,
POD-O,-5.44,2.005,0.427,,0.371,0.6,,,,,,
,-5.448,2.007,0.376,,,,,,,,,
,-5.531,2.061,0.375,,,,,,,,,
POD-I,-7.937,2.699,-0.55,,,,,,,,,
,-7.944,2.679,-0.493,,,,,,,,,
,-7.929,2.695,-0.522,,,,,,,,,
QD2-O,-7.456,3.183,0.542,,0.193,0.2,,,,,,
,-7.499,3.197,0.492,,,,,,,,,
,-7.527,3.182,0.61,,,,,,,,,
QD2-I,-8.105,3.008,-0.31,,,,,,,,,
,-8.141,3.003,-0.344,,,,,,,,,
,-8.14,2.997,-0.352,,,,,,,,,
QD4-O,-7.728,2.816,0.56,,0.108,0.09,,,,,,
,-7.724,2.833,0.557,,,,,,,,,
,-7.735,2.783,0.561,,,,,,,,,
QD4-I,-8.001,2.606,0.161,,,,,,,,,
,-8,2.59,0.178,,,,,,,,,
,-8.034,2.629,0.168,,,,,,,,,
ABP,-4.914,0.554,-0.959,,,,,,,,,
,-4.962,0.486,-1.045,,,,,,,,,
,-4.912,0.54,-0.935,,,,,,,,,
PBP,-7.075,2.452,-0.504,,,,,,,,,
,-7.068,2.419,-0.538,,,,,,,,,
,-7.055,2.395,-0.534,,,,,,,,,
JJ,-7.826,2.86,-0.112,,,,,,,,,
,-7.88,2.879,-0.124,,,,,,,,,
,-7.921,2.842,-0.11,,,,,,,,,
