Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.887,2.708,0.242,,0.809,1.9,5.364,81.821,18.6,7.3,4.9,77.4
,-4.895,2.766,0.277,,,,,,,,,
,-4.909,2.732,0.269,,,,,,,,,
POV-I,-8.574,2.927,-0.649,,,,,,,,,
,-8.539,2.998,-0.664,,,,,,,,,
,-8.512,3.068,-0.673,,,,,,,,,
QD1/2-O,-8.616,3.469,0.727,,0.138,0.2,,,,,,
,-8.577,3.457,0.672,,,,,,,,,
,-8.556,3.454,0.794,,,,,,,,,
QD1/2-I,-9.325,3.218,-0.637,,,,,,,,,
,-9.312,3.254,-0.63,,,,,,,,,
,-9.309,3.285,-0.596,,,,,,,,,
QV-O,-9.329,3.263,-0.611,,0.669,0.9,,,,,,
,-9.297,3.296,-0.493,,,,,,,,,
,-9.286,3.261,-0.531,,,,,,,,,
QV-I,-9.243,1.83,-1.347,,,,,,,,,
,-9.137,1.872,-1.438,,,,,,,,,
,-9.228,1.925,-1.37,,,,,,,,,
POD-O,-5.767,1.927,-0.037,,0.544,0.9,,,,,,
,-5.777,1.935,-0.044,,,,,,,,,
,-5.779,1.938,0.021,,,,,,,,,
POD-I,-8.902,3.01,-0.831,,,,,,,,,
,-8.928,3.104,-0.829,,,,,,,,,
,-8.91,2.998,-0.776,,,,,,,,,
QD3-O,-8.173,2.973,0.626,,0.115,0.3,,,,,,
,-8.26,2.996,0.622,,,,,,,,,
,-8.363,3.027,0.661,,,,,,,,,
QD3-I,-9.249,3.06,-0.321,,,,,,,,,
,-9.282,3.121,-0.454,,,,,,,,,
,-9.353,3.099,-0.39,,,,,,,,,
QD4-O,-7.956,2.688,0.352,,0.085,0.03,,,,,,
,-7.978,2.732,0.329,,,,,,,,,
,-7.945,2.735,0.364,,,,,,,,,
QD4-I,-8.292,2.753,-0.07,,,,,,,,,
,-8.249,2.728,-0.078,,,,,,,,,
,-8.242,2.758,-0.063,,,,,,,,,
ABP,-4.559,0.37,-1.177,,,,,,,,,
,-4.535,0.363,-1.16,,,,,,,,,
,-4.64,0.4,-1.253,,,,,,,,,
PBP,-7.232,2.38,-0.169,,,,,,,,,
,-7.285,2.425,-0.13,,,,,,,,,
,-7.187,2.381,-0.143,,,,,,,,,
JJ,-8.109,2.618,0.311,,,,,,,,,
,-8.064,2.613,0.301,,,,,,,,,
,-8.061,2.635,0.293,,,,,,,,,
