Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.983,4.679,0.677,,2.689,13,9.404,72.416,24.7,17,,132.9
,-6.952,4.672,0.672,,,,,,,,,
,-7.007,4.65,0.599,,,,,,,,,
POV-I,-16.553,9.318,-2.178,,,,,,,,,
,-16.571,9.229,-2.213,,,,,,,,,
,-16.524,9.23,-2.224,,,,,,,,,
QD1-O,-13.486,9.244,1.601,,1.377,4.4,,,,,,
,-13.566,9.284,1.624,,,,,,,,,
,-13.588,9.281,1.661,,,,,,,,,
QD1-I,-16.789,10.124,-1.08,,,,,,,,,
,-16.747,10.085,-1.191,,,,,,,,,
,-16.722,10.064,-1.201,,,,,,,,,
QV-O,-17.112,10.321,-0.89,,7.976,24.9,,,,,,
,-17.095,10.322,-0.833,,,,,,,,,
,-17.06,10.272,-1.026,,,,,,,,,
QV-I,-19.713,8.011,-3.377,,,,,,,,,
,-19.721,8.065,-3.35,,,,,,,,,
,-19.673,7.959,-3.373,,,,,,,,,
POD-O,-9.401,5.934,0.127,,0.854,4,,,,,,
,-9.397,5.888,0.173,,,,,,,,,
,-9.476,5.847,0.382,,,,,,,,,
POD-I,-16.488,9.006,-1.963,,,,,,,,,
,-16.404,8.973,-1.954,,,,,,,,,
,-16.389,8.956,-1.916,,,,,,,,,
QD2-O,-14.977,9.735,1.804,,1.063,2.7,,,,,,
,-15.155,9.744,1.642,,,,,,,,,
,-15.126,9.741,1.669,,,,,,,,,
QD2-I,-16.85,9.708,-0.565,,,,,,,,,
,-16.881,9.775,-0.582,,,,,,,,,
,-16.977,9.778,-0.524,,,,,,,,,
QD3-O,-14.402,9.898,1.111,,1.1,4.5,,,,,,
,-14.257,9.817,1.142,,,,,,,,,
,-14.295,9.805,1.042,,,,,,,,,
QD3-I,-16.763,9.483,-1.419,,,,,,,,,
,-16.752,9.426,-1.454,,,,,,,,,
,-16.681,9.472,-1.439,,,,,,,,,
QD4-O,-16.023,9.575,-0.165,,1.023,1.8,,,,,,
,-16.01,9.581,-0.185,,,,,,,,,
,-16.002,9.589,-0.193,,,,,,,,,
QD4-I,-17.059,8.851,-1.689,,,,,,,,,
,-17.07,8.955,-1.545,,,,,,,,,
,-17.074,8.876,-1.509,,,,,,,,,
ABP,-9.554,1.524,-2.988,,,,,,,,,
,-9.612,1.497,-3.142,,,,,,,,,
,-9.617,1.558,-3.188,,,,,,,,,
PBP,-14.863,7.915,-1.523,,,,,,,,,
,-14.767,7.837,-1.612,,,,,,,,,
,-14.707,7.798,-1.552,,,,,,,,,
JJ,-16.941,8.672,-0.294,,,,,,,,,
,-16.941,8.661,-0.337,,,,,,,,,
,-16.922,8.684,-0.396,,,,,,,,,
