Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-7.105,4.508,-0.672,,1.677,10.9,10.31,75.375,24.4,18.9,11.2,126.1
,-7.109,4.442,-0.651,,,,,,,,,
,-7.097,4.393,-0.692,,,,,,,,,
POV-I,-15.665,9.013,-4.999,,,,,,,,,
,-15.613,9.006,-4.932,,,,,,,,,
,-15.813,9.152,-4.973,,,,,,,,,
QD1-O,-13.667,9.388,-1.018,,1.133,3.3,,,,,,
,-13.846,9.508,-1.004,,,,,,,,,
,-13.878,9.52,-0.993,,,,,,,,,
QD1-I,-16.196,10.212,-3.809,,,,,,,,,
,-16.218,10.235,-3.711,,,,,,,,,
,-16.228,10.232,-3.755,,,,,,,,,
QV-O,-16.397,10.331,-3.75,,6.526,19.1,,,,,,
,-16.39,10.346,-3.692,,,,,,,,,
,-16.341,10.258,-3.8,,,,,,,,,
QV-I,-18.657,8.063,-6.553,,,,,,,,,
,-18.713,8.03,-6.564,,,,,,,,,
,-18.722,8.017,-6.553,,,,,,,,,
POD-O,-9.116,5.596,-0.923,,0.781,3.1,,,,,,
,-9.082,5.593,-0.925,,,,,,,,,
,-9.056,5.575,-0.972,,,,,,,,,
POD-I,-15.698,9.299,-3.514,,,,,,,,,
,-15.759,9.33,-3.478,,,,,,,,,
,-15.663,9.342,-3.41,,,,,,,,,
QD2-O,-14.315,9.943,0.249,,1.335,2.9,,,,,,
,-14.438,10.03,0.312,,,,,,,,,
,-14.446,10.031,0.334,,,,,,,,,
QD2-I,-16.488,10.44,-2.774,,,,,,,,,
,-16.483,10.357,-2.878,,,,,,,,,
,-16.507,10.329,-2.817,,,,,,,,,
QD3-O,-14.649,9.806,-1.122,,0.751,2.3,,,,,,
,-14.629,9.806,-1.109,,,,,,,,,
,-14.711,9.837,-1.168,,,,,,,,,
QD3-I,-16.22,9.56,-3.579,,,,,,,,,
,-16.166,9.527,-3.734,,,,,,,,,
,-16.223,9.559,-3.63,,,,,,,,,
QD4-O,-15.621,9.688,-2.437,,0.95,1.6,,,,,,
,-15.661,9.794,-2.407,,,,,,,,,
,-15.638,9.736,-2.423,,,,,,,,,
QD4-I,-16.541,9.033,-3.945,,,,,,,,,
,-16.52,9.06,-3.998,,,,,,,,,
,-16.516,9.062,-4.011,,,,,,,,,
ABP,-9.463,0.981,-4.025,,,,,,,,,
,-9.489,0.904,-4.04,,,,,,,,,
,-9.49,0.9,-4.035,,,,,,,,,
PBP,-14.434,7.746,-3.494,,,,,,,,,
,-14.402,7.759,-3.497,,,,,,,,,
,-14.407,7.767,-3.497,,,,,,,,,
JJ,-16.534,9.03,-2.465,,,,,,,,,
,-16.509,9.004,-2.484,,,,,,,,,
,-16.524,9.024,-2.48,,,,,,,,,
