Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.047,4.001,-0.436,,2.02,6.1,6.417,81.126,16.8,11.9,6.8,103.2
,-6.073,3.996,-0.503,,,,,,,,,
,-6.106,3.978,-0.429,,,,,,,,,
POV-I,-11.506,3.774,-3.465,,,,,,,,,
,-11.491,3.753,-3.486,,,,,,,,,
,-11.53,3.783,-3.517,,,,,,,,,
QD1/2-O,-10.9,4.594,-0.996,,0.66,1.2,,,,,,
,-10.875,4.614,-1.018,,,,,,,,,
,-10.878,4.615,-0.968,,,,,,,,,
QD1/2-I,-12.188,4.302,-3.391,,,,,,,,,
,-12.109,4.242,-3.432,,,,,,,,,
,-12.126,4.229,-3.399,,,,,,,,,
QV-O,-12.285,4.331,-3.424,,2.373,3.3,,,,,,
,-12.208,4.312,-3.462,,,,,,,,,
,-12.208,4.294,-3.417,,,,,,,,,
QV-I,-12.553,2.754,-4.165,,,,,,,,,
,-12.563,2.636,-4.174,,,,,,,,,
,-12.573,2.583,-4.176,,,,,,,,,
POD-O,-8.21,3.149,-0.521,,1.408,3.2,,,,,,
,-8.133,3.127,-0.467,,,,,,,,,
,-8.203,3.142,-0.468,,,,,,,,,
POD-I,-11.406,3.595,-3.277,,,,,,,,,
,-11.484,3.594,-3.336,,,,,,,,,
,-11.482,3.644,-3.263,,,,,,,,,
QD3-O,-10.819,4.458,-0.965,,0.352,0.5,,,,,,
,-10.874,4.483,-0.961,,,,,,,,,
,-10.976,4.552,-0.98,,,,,,,,,
QD3-I,-12.231,4.153,-3.018,,,,,,,,,
,-12.228,4.162,-3.059,,,,,,,,,
,-12.22,4.091,-3.044,,,,,,,,,
QD4-O,-11.068,4.142,-1.744,,0.349,0.2,,,,,,
,-11.135,4.115,-1.781,,,,,,,,,
,-11.116,4.104,-1.793,,,,,,,,,
QD4-I,-11.57,3.79,-2.532,,,,,,,,,
,-11.643,3.877,-2.601,,,,,,,,,
,-11.574,3.812,-2.511,,,,,,,,,
ABP,-6.002,0.326,-2.214,,,,,,,,,
,-6.04,0.374,-2.234,,,,,,,,,
,-6.035,0.394,-2.19,,,,,,,,,
PBP,-10.034,2.914,-2.259,,,,,,,,,
,-9.902,2.907,-2.276,,,,,,,,,
,-9.88,2.9,-2.277,,,,,,,,,
JJ,-11.578,3.487,-1.92,,,,,,,,,
,-11.624,3.483,-1.906,,,,,,,,,
,-11.638,3.495,-1.882,,,,,,,,,
