Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.866,2.564,0.216,,0.797,2.3,5.196,90.063,11.7,8.3,5.3,73
,-4.856,2.558,0.193,,,,,,,,,
,-4.845,2.451,0.222,,,,,,,,,
POV-I,-8.945,2.287,-1.347,,,,,,,,,
,-8.911,2.298,-1.344,,,,,,,,,
,-8.944,2.324,-1.339,,,,,,,,,
QD1-O,-8.453,3.103,0.143,,0.17,0.4,,,,,,
,-8.468,3.083,0.187,,,,,,,,,
,-8.502,3.084,0.163,,,,,,,,,
QD1-I,-9.219,2.689,-1.043,,,,,,,,,
,-9.215,2.742,-1.076,,,,,,,,,
,-9.253,2.772,-1.04,,,,,,,,,
QV-O,-9.232,2.724,-1.139,,0.474,0.8,,,,,,
,-9.231,2.733,-1.165,,,,,,,,,
,-9.278,2.742,-1.123,,,,,,,,,
QV-I,-9.732,1.684,-1.689,,,,,,,,,
,-9.783,1.673,-1.646,,,,,,,,,
,-9.664,1.579,-1.708,,,,,,,,,
POD-O,-6.199,2.965,-0.079,,0.296,0.7,,,,,,
,-6.204,2.95,-0.066,,,,,,,,,
,-6.224,2.933,-0.032,,,,,,,,,
POD-I,-8.77,3.266,-1.361,,,,,,,,,
,-8.702,3.321,-1.307,,,,,,,,,
,-8.701,3.323,-1.301,,,,,,,,,
QD2-O,-8.52,4.126,-0.173,,0.251,0.4,,,,,,
,-8.503,4.127,-0.186,,,,,,,,,
,-8.541,4.144,-0.192,,,,,,,,,
QD2-I,-9.199,3.759,-1.148,,,,,,,,,
,-9.17,3.729,-1.152,,,,,,,,,
,-9.169,3.738,-1.173,,,,,,,,,
QD4-O,-8.678,3.173,-0.181,,0.114,0.2,,,,,,
,-8.679,3.139,-0.144,,,,,,,,,
,-8.651,3.144,-0.165,,,,,,,,,
QD4-I,-9.067,2.966,-0.553,,,,,,,,,
,-9.098,3.017,-0.611,,,,,,,,,
,-9.08,2.997,-0.613,,,,,,,,,
ABP,-5.251,0.256,-1.076,,,,,,,,,
,-5.244,0.235,-1.035,,,,,,,,,
,-5.23,0.222,-1.033,,,,,,,,,
PBP,-8.003,2.402,-0.712,,,,,,,,,
,-8.085,2.437,-0.727,,,,,,,,,
,-8,2.389,-0.722,,,,,,,,,
JJ,-8.96,2.814,-0.221,,,,,,,,,
,-8.999,2.894,-0.171,,,,,,,,,
,-8.98,2.817,-0.165,,,,,,,,,
