Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.862,2.927,-0.003,,0.642,2,5.511,72.918,16.4,11.2,,82.9
,-4.869,2.902,0.018,,,,,,,,,
,-4.869,2.913,-0.024,,,,,,,,,
POV-I,-10.897,5.063,-1.827,,,,,,,,,
,-10.875,5.088,-1.794,,,,,,,,,
,-10.878,5.06,-1.797,,,,,,,,,
QD1-O,-9.512,5.884,0.563,,0.422,0.7,,,,,,
,-9.514,5.877,0.542,,,,,,,,,
,-9.447,5.86,0.549,,,,,,,,,
QD1-I,-11.201,5.813,-1.185,,,,,,,,,
,-11.159,5.809,-1.169,,,,,,,,,
,-11.165,5.812,-1.193,,,,,,,,,
QV-O,-11.344,5.943,-1.079,,2.166,3.8,,,,,,
,-11.329,5.962,-1.054,,,,,,,,,
,-11.366,5.967,-1.098,,,,,,,,,
QV-I,-13.221,4.735,-2.335,,,,,,,,,
,-13.224,4.815,-2.286,,,,,,,,,
,-13.265,4.946,-2.261,,,,,,,,,
POD-O,-6.827,3.81,-0.662,,0.325,0.6,,,,,,
,-6.739,3.736,-0.619,,,,,,,,,
,-6.732,3.717,-0.672,,,,,,,,,
POD-I,-10.877,4.561,-1.726,,,,,,,,,
,-10.874,4.78,-1.682,,,,,,,,,
,-10.915,4.871,-1.585,,,,,,,,,
QD2-O,-9.837,5.87,0.367,,0.32,0.6,,,,,,
,-9.804,5.881,0.377,,,,,,,,,
,-9.824,5.879,0.47,,,,,,,,,
QD2-I,-11.336,5.523,-1.223,,,,,,,,,
,-11.333,5.552,-1.203,,,,,,,,,
,-11.349,5.553,-1.177,,,,,,,,,
QD3-O,-9.903,5.387,-0.166,,0.262,0.6,,,,,,
,-9.935,5.385,-0.189,,,,,,,,,
,-9.921,5.368,-0.201,,,,,,,,,
QD3-I,-11.44,5.108,-1.242,,,,,,,,,
,-11.423,5.175,-1.254,,,,,,,,,
,-11.446,5.113,-1.259,,,,,,,,,
QD4-O,-10.639,5.537,-0.375,,0.372,0.2,,,,,,
,-10.703,5.547,-0.356,,,,,,,,,
,-10.762,5.541,-0.351,,,,,,,,,
QD4-I,-11.453,5.409,-0.909,,,,,,,,,
,-11.433,5.36,-0.936,,,,,,,,,
,-11.453,5.357,-0.975,,,,,,,,,
ABP,-6.398,1.027,-1.92,,,,,,,,,
,-6.401,1.032,-1.968,,,,,,,,,
,-6.362,1.046,-1.989,,,,,,,,,
PBP,-9.72,4.431,-1.208,,,,,,,,,
,-9.74,4.398,-1.234,,,,,,,,,
,-9.723,4.372,-1.215,,,,,,,,,
JJ,-11.177,5.145,-0.097,,,,,,,,,
,-11.208,5.133,-0.031,,,,,,,,,
,-11.196,5.134,-0.049,,,,,,,,,
