Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.622,3.742,-0.097,,2.109,6,6.258,79.869,15.8,10.9,7.2,97.5
,-5.603,3.784,-0.083,,,,,,,,,
,-5.66,3.724,-0.14,,,,,,,,,
POV-I,-10.557,3.789,-1.497,,,,,,,,,
,-10.552,3.814,-1.481,,,,,,,,,
,-10.506,4.016,-1.487,,,,,,,,,
QD1-O,-9.949,4.516,0.572,,0.527,1.1,,,,,,
,-9.812,4.584,0.49,,,,,,,,,
,-9.79,4.523,0.539,,,,,,,,,
QD1-I,-10.896,4.391,-1.409,,,,,,,,,
,-10.919,4.459,-1.409,,,,,,,,,
,-10.898,4.526,-1.368,,,,,,,,,
QV-O,-11.056,4.6,-1.414,,1.865,2.7,,,,,,
,-11.08,4.559,-1.484,,,,,,,,,
,-11.087,4.554,-1.5,,,,,,,,,
QV-I,-11.536,2.938,-2.029,,,,,,,,,
,-11.538,2.935,-2.023,,,,,,,,,
,-11.547,2.863,-2.012,,,,,,,,,
POD-O,-7.193,2.665,0.23,,1.092,2.8,,,,,,
,-7.195,2.616,0.266,,,,,,,,,
,-7.254,2.677,0.224,,,,,,,,,
POD-I,-10.415,3.641,-1.712,,,,,,,,,
,-10.379,3.611,-1.645,,,,,,,,,
,-10.41,3.628,-1.604,,,,,,,,,
QD2-O,-10.336,4.52,0.056,,0.398,0.9,,,,,,
,-10.449,4.569,-0.057,,,,,,,,,
,-10.454,4.577,-0.057,,,,,,,,,
QD2-I,-11.011,3.97,-1.264,,,,,,,,,
,-11.077,3.923,-1.334,,,,,,,,,
,-11.045,3.92,-1.281,,,,,,,,,
QD4-O,-10.364,4.38,-0.555,,0.373,0.4,,,,,,
,-10.351,4.399,-0.576,,,,,,,,,
,-10.355,4.354,-0.569,,,,,,,,,
QD4-I,-10.989,4.156,-1.209,,,,,,,,,
,-10.999,4.211,-1.167,,,,,,,,,
,-10.98,4.227,-1.162,,,,,,,,,
ABP,-6.22,0.168,-1.293,,,,,,,,,
,-6.22,0.162,-1.397,,,,,,,,,
,-6.21,0.21,-1.408,,,,,,,,,
PBP,-9.665,3.238,-1.208,,,,,,,,,
,-9.666,3.238,-1.204,,,,,,,,,
,-9.666,3.247,-1.178,,,,,,,,,
JJ,-10.979,3.819,-0.849,,,,,,,,,
,-10.967,3.758,-0.858,,,,,,,,,
,-10.967,3.76,-0.861,,,,,,,,,
