Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.695,3.466,-0.719,,1.287,5.7,8.996,90.197,21.2,12.3,,107.6
,-5.667,3.478,-0.648,,,,,,,,,
,-5.727,3.465,-0.624,,,,,,,,,
POV-I,-12.691,6.995,-3.692,,,,,,,,,
,-12.697,7.004,-3.698,,,,,,,,,
,-12.644,6.919,-3.668,,,,,,,,,
QD1-O,-11.245,7.132,-0.455,,0.715,1.7,,,,,,
,-11.289,7.155,-0.477,,,,,,,,,
,-11.339,7.153,-0.455,,,,,,,,,
QD1-I,-13.147,7.74,-2.979,,,,,,,,,
,-13.197,7.747,-3.003,,,,,,,,,
,-13.174,7.748,-2.958,,,,,,,,,
QV-O,-13.463,7.836,-2.893,,3.655,9.9,,,,,,
,-13.439,7.849,-2.854,,,,,,,,,
,-13.425,7.823,-2.866,,,,,,,,,
QV-I,-14.999,6.132,-5.111,,,,,,,,,
,-15.065,6.179,-5.142,,,,,,,,,
,-15.106,6.276,-5.112,,,,,,,,,
POD-O,-7.474,4.175,-1.074,,0.513,1.4,,,,,,
,-7.448,4.198,-1.08,,,,,,,,,
,-7.422,4.198,-1.1,,,,,,,,,
POD-I,-12.526,6.991,-3.752,,,,,,,,,
,-12.461,6.89,-3.692,,,,,,,,,
,-12.447,6.773,-3.686,,,,,,,,,
QD2-O,-11.795,7.221,-0.599,,0.778,1.2,,,,,,
,-11.816,7.231,-0.585,,,,,,,,,
,-11.919,7.291,-0.596,,,,,,,,,
QD2-I,-13.104,7.473,-2.633,,,,,,,,,
,-13.07,7.482,-2.628,,,,,,,,,
,-13.12,7.444,-2.605,,,,,,,,,
QD3-O,-11.366,6.98,-0.518,,0.396,1.1,,,,,,
,-11.366,6.983,-0.395,,,,,,,,,
,-11.542,7.072,-0.573,,,,,,,,,
QD3-I,-12.974,7.033,-2.556,,,,,,,,,
,-12.957,7.051,-2.626,,,,,,,,,
,-12.933,7.112,-2.599,,,,,,,,,
QD4-O,-12.819,7.082,-1.876,,0.438,0.6,,,,,,
,-12.749,7.103,-1.853,,,,,,,,,
,-12.848,7.129,-1.863,,,,,,,,,
QD4-I,-13.392,7.092,-2.857,,,,,,,,,
,-13.375,7.016,-2.935,,,,,,,,,
,-13.343,7.003,-2.976,,,,,,,,,
ABP,-7.111,1.282,-3.794,,,,,,,,,
,-7.069,1.293,-3.797,,,,,,,,,
,-7.062,1.235,-3.843,,,,,,,,,
PBP,-11.021,5.728,-2.942,,,,,,,,,
,-11.006,5.726,-2.963,,,,,,,,,
,-11.027,5.728,-2.966,,,,,,,,,
JJ,-13.061,6.412,-2.15,,,,,,,,,
,-13.021,6.419,-2.186,,,,,,,,,
,-12.999,6.403,-2.184,,,,,,,,,
