Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.464,3.634,-0.093,,2.004,7.5,6.398,76.915,17.1,12.2,7.2,107.2
,-6.464,3.634,-0.093,,,,,,,,,
,-6.444,3.617,-0.085,,,,,,,,,
POV-I,-6.39,3.635,-0.122,,,,,,,,,
,-11.448,2.775,-3.319,,,,,,,,,
,-11.418,2.793,-3.401,,,,,,,,,
QD1/2-O,-11.482,2.819,-3.347,,1.038,1.3,,,,,,
,-11.365,4.229,-1.169,,,,,,,,,
,-11.497,4.199,-1.115,,,,,,,,,
QD1/2-I,-11.425,4.228,-1.214,,,,,,,,,
,-12.399,3.048,-3.529,,,,,,,,,
,-12.338,2.99,-3.587,,,,,,,,,
QV-O,-12.36,2.997,-3.571,,1.851,4.4,,,,,,
,-12.626,3.289,-3.493,,,,,,,,,
,-12.529,3.133,-3.593,,,,,,,,,
QV-I,-13.255,0.821,-3.95,,,,,,,,,
,-13.28,0.943,-4.007,,,,,,,,,
,-13.245,0.799,-3.974,,,,,,,,,
POD-O,-8.093,4.617,-1.265,,1.431,3.2,,,,,,
,-8.047,3.704,-1.504,,,,,,,,,
,-7.993,3.703,-1.515,,,,,,,,,
POD-I,-11.396,3.364,-4.816,,,,,,,,,
,-11.228,3.261,-4.857,,,,,,,,,
,-11.253,3.281,-4.832,,,,,,,,,
QD3-O,-11.019,5.065,-2.661,,0.387,0.9,,,,,,
,-11.026,5.017,-2.716,,,,,,,,,
,-11.007,5.037,-2.646,,,,,,,,,
QD3-I,-11.846,4.394,-4.095,,,,,,,,,
,-11.831,4.444,-4.042,,,,,,,,,
,-11.833,4.491,-4.047,,,,,,,,,
QD4-O,-11.543,4.198,-2.254,,0.47,0.2,,,,,,
,-11.574,4.318,-2.231,,,,,,,,,
,-11.508,4.219,-2.235,,,,,,,,,
QD4-I,-12.046,3.661,-2.928,,,,,,,,,
,-12.016,3.653,-3.012,,,,,,,,,
,-11.993,3.611,-3.006,,,,,,,,,
ABP,-6.521,0.628,-1.54,,,,,,,,,
,-6.518,0.754,-1.603,,,,,,,,,
,-6.523,0.738,-1.533,,,,,,,,,
PBP,-10.858,3.406,-1.798,,,,,,,,,
,-10.761,3.408,-1.806,,,,,,,,,
,-10.728,3.35,-1.842,,,,,,,,,
JJ,-12.025,3.96,-1.445,,,,,,,,,
,-11.97,3.966,-1.471,,,,,,,,,
,-12,3.983,-1.511,,,,,,,,,
