Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.803,2.339,-0.004,,0.586,1.2,5.242,88.929,12.3,7.9,5.8,66.9
,-4.772,2.314,0.052,,,,,,,,,
,-4.798,2.337,-0.022,,,,,,,,,
POV-I,-8.983,4.374,-1.664,,,,,,,,,
,-9.028,4.321,-1.707,,,,,,,,,
,-8.952,4.271,-1.708,,,,,,,,,
QD1/2-O,-8.182,4.612,0.128,,0.634,0.4,,,,,,
,-8.131,4.593,0.067,,,,,,,,,
,-8.106,4.546,0.181,,,,,,,,,
QD1/2-I,-9.405,4.877,-1.039,,,,,,,,,
,-9.367,4.892,-1.044,,,,,,,,,
,-9.38,4.891,-1.037,,,,,,,,,
QV-O,-9.43,4.822,-1.018,,1.137,1.9,,,,,,
,-9.4,4.887,-1.003,,,,,,,,,
,-9.37,4.917,-1.088,,,,,,,,,
QV-I,-10.381,3.488,-2.507,,,,,,,,,
,-10.327,3.478,-2.539,,,,,,,,,
,-10.357,3.465,-2.537,,,,,,,,,
POD-O,-6.028,2.99,0.053,,0.4,0.2,,,,,,
,-6.008,2.97,0.063,,,,,,,,,
,-6.073,3.012,0.016,,,,,,,,,
POD-I,-9.163,3.974,-0.726,,,,,,,,,
,-9.108,3.958,-0.692,,,,,,,,,
,-9.087,4.06,-0.614,,,,,,,,,
QD3-O,-8.305,4.609,1.178,,0.559,0.4,,,,,,
,-8.348,4.595,1.179,,,,,,,,,
,-8.419,4.628,1.167,,,,,,,,,
QD3-I,-9.66,4.702,-0.021,,,,,,,,,
,-9.65,4.619,-0.117,,,,,,,,,
,-9.67,4.611,-0.103,,,,,,,,,
QD4-O,-9.022,4.402,-0.649,,0.204,0.1,,,,,,
,-8.973,4.384,-0.638,,,,,,,,,
,-8.983,4.344,-0.648,,,,,,,,,
QD4-I,-9.537,4.419,-1.185,,,,,,,,,
,-9.536,4.375,-1.226,,,,,,,,,
,-9.54,4.408,-1.146,,,,,,,,,
ABP,-5.577,0.799,-1.942,,,,,,,,,
,-5.612,0.697,-1.878,,,,,,,,,
,-5.594,0.875,-1.858,,,,,,,,,
PBP,-8.02,3.382,-1.329,,,,,,,,,
,-8.047,3.402,-1.221,,,,,,,,,
,-8.134,3.422,-1.275,,,,,,,,,
JJ,-9.364,4.048,-0.636,,,,,,,,,
,-9.392,4.001,-0.625,,,,,,,,,
,-9.343,3.987,-0.666,,,,,,,,,
