Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.454,3.83,0.18,,1.656,8.5,8.72,71.584,22.6,16.3,13.2,122.3
,-6.475,3.787,0.151,,,,,,,,,
,-6.499,3.741,0.166,,,,,,,,,
POV-I,-14.678,7.237,-3.415,,,,,,,,,
,-14.686,7.234,-3.379,,,,,,,,,
,-14.69,7.234,-3.434,,,,,,,,,
QD1-O,-12.756,8.168,0.352,,0.899,3,,,,,,
,-12.611,8.051,0.452,,,,,,,,,
,-12.632,8.08,0.447,,,,,,,,,
QD1-I,-14.952,8.471,-2.369,,,,,,,,,
,-14.969,8.531,-2.346,,,,,,,,,
,-15.005,8.549,-2.266,,,,,,,,,
QV-O,-15.334,8.85,-2.085,,6.087,17.9,,,,,,
,-15.334,8.85,-2.085,,,,,,,,,
,-15.45,8.748,-2.256,,,,,,,,,
QV-I,-17.199,5.811,-4.487,,,,,,,,,
,-17.206,5.795,-4.517,,,,,,,,,
,-17.167,5.891,-4.552,,,,,,,,,
POD-O,-7.873,4.497,-0.882,,0.584,2.7,,,,,,
,-7.872,4.483,-0.816,,,,,,,,,
,-7.888,4.492,-0.808,,,,,,,,,
POD-I,-14.111,7.434,-3.584,,,,,,,,,
,-14.039,7.547,-3.603,,,,,,,,,
,-13.975,7.521,-3.612,,,,,,,,,
QD2-O,-13.004,8.585,-0.099,,1.059,2.6,,,,,,
,-12.958,8.563,-0.119,,,,,,,,,
,-13.082,8.621,-0.079,,,,,,,,,
QD2-I,-14.781,8.499,-2.9,,,,,,,,,
,-14.862,8.57,-2.743,,,,,,,,,
,-14.818,8.515,-2.859,,,,,,,,,
QD3-O,-11.853,8.284,-0.632,,0.709,3,,,,,,
,-11.991,8.421,-0.478,,,,,,,,,
,-11.929,8.377,-0.532,,,,,,,,,
QD3-I,-14.655,8.42,-2.935,,,,,,,,,
,-14.458,8.316,-3.022,,,,,,,,,
,-14.58,8.126,-3.079,,,,,,,,,
QD4-O,-14.063,8.711,-1.805,,0.805,1.4,,,,,,
,-14.042,8.663,-1.879,,,,,,,,,
,-14.116,8.841,-1.787,,,,,,,,,
QD4-I,-14.944,8.526,-3.005,,,,,,,,,
,-14.931,8.513,-2.96,,,,,,,,,
,-14.941,8.556,-2.9,,,,,,,,,
ABP,-8.41,1.282,-3.865,,,,,,,,,
,-8.393,1.307,-3.907,,,,,,,,,
,-8.461,1.191,-3.846,,,,,,,,,
PBP,-12.824,6.854,-2.973,,,,,,,,,
,-12.811,6.852,-2.98,,,,,,,,,
,-12.807,6.848,-2.997,,,,,,,,,
JJ,-14.852,8.032,-1.841,,,,,,,,,
,-14.847,7.992,-1.817,,,,,,,,,
,-14.804,7.948,-1.816,,,,,,,,,
