Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.072,2.946,0.313,,1.075,2.8,5.57,84.195,12.2,11.6,6.9,74.4
,-3.081,2.843,0.247,,,,,,,,,
,-3.075,2.872,0.246,,,,,,,,,
POV-I,-7.511,4.62,-1.955,,,,,,,,,
,-7.443,4.628,-1.982,,,,,,,,,
,-7.439,4.522,-1.917,,,,,,,,,
QD1-O,-6.515,5.617,0.341,,0.806,0.8,,,,,,
,-6.522,5.623,0.378,,,,,,,,,
,-6.538,5.581,0.343,,,,,,,,,
QD1-I,-7.814,5.457,-1.416,,,,,,,,,
,-7.799,5.51,-1.324,,,,,,,,,
,-7.77,5.587,-1.297,,,,,,,,,
QV-O,-7.967,5.453,-1.405,,2.576,5,,,,,,
,-7.955,5.501,-1.4,,,,,,,,,
,-7.969,5.512,-1.349,,,,,,,,,
QV-I,-9.5,4.12,-2.409,,,,,,,,,
,-9.584,4.241,-2.377,,,,,,,,,
,-9.558,4.234,-2.382,,,,,,,,,
POD-O,-4.489,3.495,-0.372,,0.404,0.5,,,,,,
,-4.46,3.521,-0.364,,,,,,,,,
,-4.398,3.417,-0.408,,,,,,,,,
POD-I,-7.372,4.447,-2.047,,,,,,,,,
,-7.382,4.461,-2.017,,,,,,,,,
,-7.438,4.444,-2.04,,,,,,,,,
QD2-O,-6.771,5.578,0.145,,0.835,0.7,,,,,,
,-6.78,5.567,0.175,,,,,,,,,
,-6.761,5.563,0.089,,,,,,,,,
QD2-I,-7.767,5.199,-1.581,,,,,,,,,
,-7.687,5.111,-1.551,,,,,,,,,
,-7.752,5.193,-1.52,,,,,,,,,
QD3-O,-6.797,5.188,0.378,,0.491,0.5,,,,,,
,-6.91,5.191,0.282,,,,,,,,,
,-6.963,5.108,0.128,,,,,,,,,
QD3-I,-7.849,4.981,-1.189,,,,,,,,,
,-7.93,5.059,-1.17,,,,,,,,,
,-7.825,4.908,-1.226,,,,,,,,,
QD4-O,-7.525,5.112,-0.104,,0.209,0.2,,,,,,
,-7.555,5.123,-0.133,,,,,,,,,
,-7.546,5.043,-0.111,,,,,,,,,
QD4-I,-8.105,4.89,-0.631,,,,,,,,,
,-8.115,4.864,-0.624,,,,,,,,,
,-8.134,4.889,-0.602,,,,,,,,,
ABP,-4.131,0.529,-1.538,,,,,,,,,
,-4.171,0.502,-1.538,,,,,,,,,
,-4.138,0.522,-1.523,,,,,,,,,
PBP,-6.953,4.22,-0.82,,,,,,,,,
,-6.94,4.022,-0.778,,,,,,,,,
,-6.908,3.995,-0.762,,,,,,,,,
JJ,-8.007,4.744,-0.038,,,,,,,,,
,-7.961,4.736,-0.107,,,,,,,,,
,-7.975,4.772,-0.092,,,,,,,,,
