Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.08,3.633,0.659,,2.477,9.4,7.473,74.984,16.4,17.5,,102.5
,-4.085,3.608,0.668,,,,,,,,,
,-4.113,3.547,0.701,,,,,,,,,
POV-I,-10.95,5.815,-1.594,,,,,,,,,
,-10.939,5.794,-1.552,,,,,,,,,
,-10.91,5.856,-1.622,,,,,,,,,
QD1-O,-8.918,6.874,1.974,,1.068,2.3,,,,,,
,-8.983,6.907,1.956,,,,,,,,,
,-8.991,6.908,1.957,,,,,,,,,
QD1-I,-11.122,6.984,-0.479,,,,,,,,,
,-11.127,7.054,-0.473,,,,,,,,,
,-11.172,7.019,-0.447,,,,,,,,,
QV-O,-11.473,7.067,-0.489,,7.839,16.9,,,,,,
,-11.469,7.041,-0.471,,,,,,,,,
,-11.464,7.013,-0.522,,,,,,,,,
QV-I,-13.759,5.294,-1.784,,,,,,,,,
,-13.741,5.273,-1.822,,,,,,,,,
,-13.745,5.209,-1.858,,,,,,,,,
POD-O,-6.083,4.254,-0.883,,0.757,2.4,,,,,,
,-6.046,4.242,-0.899,,,,,,,,,
,-6.049,4.237,-0.887,,,,,,,,,
POD-I,-11.165,5.535,-2.888,,,,,,,,,
,-11.051,5.495,-2.947,,,,,,,,,
,-11.057,5.515,-2.957,,,,,,,,,
QD2-O,-9.535,7.14,0.471,,1.432,3.5,,,,,,
,-9.645,7.172,0.367,,,,,,,,,
,-9.723,7.193,0.348,,,,,,,,,
QD2-I,-11.439,6.905,-1.727,,,,,,,,,
,-11.452,6.914,-1.672,,,,,,,,,
,-11.437,6.938,-1.747,,,,,,,,,
QD3-O,-10.236,6.838,0.859,,0.791,1.8,,,,,,
,-10.179,6.776,0.876,,,,,,,,,
,-10.262,6.799,0.853,,,,,,,,,
QD3-I,-11.44,5.929,-0.972,,,,,,,,,
,-11.47,5.94,-0.998,,,,,,,,,
,-11.461,6.019,-0.901,,,,,,,,,
QD4-O,-10.599,6.249,0.15,,0.745,0.8,,,,,,
,-10.662,6.348,0.211,,,,,,,,,
,-10.694,6.333,0.19,,,,,,,,,
QD4-I,-11.494,6.029,-0.647,,,,,,,,,
,-11.482,6.046,-0.673,,,,,,,,,
,-11.471,6.014,-0.614,,,,,,,,,
ABP,-5.787,0.565,-3.023,,,,,,,,,
,-5.847,0.637,-3.03,,,,,,,,,
,-5.811,0.608,-3.022,,,,,,,,,
PBP,-9.939,5.07,-1.069,,,,,,,,,
,-9.88,5.082,-1.152,,,,,,,,,
,-9.826,5.046,-1.197,,,,,,,,,
JJ,-11.275,5.845,-0.001,,,,,,,,,
,-11.253,5.787,0.042,,,,,,,,,
,-11.274,5.849,-0.014,,,,,,,,,
