Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.944,6.737,-0.663,,5.394,52.4,13.528,64.593,32.8,28.3,21.6,183.8
,-6.947,6.723,-0.665,,,,,,,,,
,-6.982,6.675,-0.713,,,,,,,,,
POV-I,-17.969,11.426,-7.382,,,,,,,,,
,-17.928,11.399,-7.292,,,,,,,,,
,-18,11.501,-7.235,,,,,,,,,
QD1-O,-16.216,13.203,-0.439,,4.869,16.7,,,,,,
,-16.232,13.19,-0.548,,,,,,,,,
,-16.439,13.26,-0.386,,,,,,,,,
QD1-I,-18.466,13.192,-5.57,,,,,,,,,
,-18.47,13.186,-5.623,,,,,,,,,
,-18.431,13.234,-5.645,,,,,,,,,
QV-O,-18.665,13.444,-5.454,,25.944,95.8,,,,,,
,-18.728,13.458,-5.5,,,,,,,,,
,-18.729,13.469,-5.562,,,,,,,,,
QV-I,-22.283,9.014,-8.968,,,,,,,,,
,-22.191,8.705,-9.012,,,,,,,,,
,-22.224,8.92,-9,,,,,,,,,
POD-O,-9.67,7.468,-1.612,,2.574,12.4,,,,,,
,-9.723,7.57,-1.69,,,,,,,,,
,-9.706,7.599,-1.762,,,,,,,,,
POD-I,-17.612,10.398,-7.735,,,,,,,,,
,-17.486,10.449,-7.669,,,,,,,,,
,-17.645,10.452,-7.779,,,,,,,,,
QD2-O,-16.394,12.815,-0.618,,3.311,13.2,,,,,,
,-16.473,12.851,-0.621,,,,,,,,,
,-16.502,12.868,-0.7,,,,,,,,,
QD2-I,-18.5,12.617,-5.074,,,,,,,,,
,-18.425,12.652,-5.095,,,,,,,,,
,-18.44,12.645,-5.118,,,,,,,,,
QD3-O,-17.526,13.345,-2.413,,5.137,18.8,,,,,,
,-17.395,13.252,-2.408,,,,,,,,,
,-17.594,13.298,-2.499,,,,,,,,,
QD3-I,-18.376,11.879,-6.353,,,,,,,,,
,-18.359,11.857,-6.328,,,,,,,,,
,-18.472,11.822,-6.366,,,,,,,,,
QD4-O,-17.689,12.486,-3.594,,2.424,6.5,,,,,,
,-17.682,12.433,-3.651,,,,,,,,,
,-17.664,12.419,-3.636,,,,,,,,,
QD4-I,-18.859,11.106,-6.188,,,,,,,,,
,-18.938,11.312,-6.044,,,,,,,,,
,-18.925,11.356,-5.958,,,,,,,,,
ABP,-9.04,0.486,-7.404,,,,,,,,,
,-9.092,0.596,-7.455,,,,,,,,,
,-9.125,0.534,-7.379,,,,,,,,,
PBP,-15.663,9.635,-5.827,,,,,,,,,
,-15.593,9.624,-5.795,,,,,,,,,
,-15.597,9.622,-5.794,,,,,,,,,
JJ,-18.952,10.829,-4.025,,,,,,,,,
,-18.973,10.821,-3.991,,,,,,,,,
,-18.922,10.778,-4.015,,,,,,,,,
