Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.874,3.548,-0.381,,0.689,5,7.122,73.159,19.8,14.3,10.9,101.6
,-5.863,3.374,-0.36,,,,,,,,,
,-5.863,3.377,-0.326,,,,,,,,,
POV-I,-13.063,5.995,-2.953,,,,,,,,,
,-13.026,5.973,-3.039,,,,,,,,,
,-13.01,5.999,-3,,,,,,,,,
QD1-O,-11.21,6.649,-0.1,,0.98,1.7,,,,,,
,-11.171,6.642,-0.153,,,,,,,,,
,-11.185,6.639,-0.157,,,,,,,,,
QD1-I,-13.579,7.03,-2.104,,,,,,,,,
,-13.542,6.963,-2.129,,,,,,,,,
,-13.513,6.946,-2.149,,,,,,,,,
QV-O,-13.774,6.943,-2.255,,3.238,9,,,,,,
,-13.77,7.03,-2.283,,,,,,,,,
,-13.736,7.006,-2.322,,,,,,,,,
QV-I,-15.726,5.338,-3.98,,,,,,,,,
,-15.77,5.54,-3.924,,,,,,,,,
,-15.773,5.523,-3.93,,,,,,,,,
POD-O,-7.807,3.908,-1.709,,0.424,1.6,,,,,,
,-7.72,3.873,-1.664,,,,,,,,,
,-7.698,3.795,-1.579,,,,,,,,,
POD-I,-12.977,5.314,-4.198,,,,,,,,,
,-13.025,5.41,-4.207,,,,,,,,,
,-13.079,5.345,-4.089,,,,,,,,,
QD2-O,-12.126,6.922,-1.558,,0.578,1.1,,,,,,
,-12.23,6.957,-1.609,,,,,,,,,
,-12.167,6.941,-1.593,,,,,,,,,
QD2-I,-13.693,6.632,-3.197,,,,,,,,,
,-13.798,6.674,-3.22,,,,,,,,,
,-13.778,6.64,-3.225,,,,,,,,,
QD3-O,-12.49,6.627,-0.531,,0.321,0.9,,,,,,
,-12.483,6.661,-0.486,,,,,,,,,
,-12.372,6.622,-0.447,,,,,,,,,
QD3-I,-13.763,6.26,-1.91,,,,,,,,,
,-13.785,6.219,-1.882,,,,,,,,,
,-13.769,6.273,-1.812,,,,,,,,,
QD4-O,-13.193,6.356,-1.16,,0.389,0.3,,,,,,
,-13.234,6.356,-1.177,,,,,,,,,
,-13.19,6.28,-1.159,,,,,,,,,
QD4-I,-13.752,6.218,-2.079,,,,,,,,,
,-13.78,6.267,-2.054,,,,,,,,,
,-13.757,6.198,-2.068,,,,,,,,,
ABP,-7.417,1.137,-3.09,,,,,,,,,
,-7.452,1.055,-3.084,,,,,,,,,
,-7.472,1.068,-3.055,,,,,,,,,
PBP,-12.03,5.164,-2.052,,,,,,,,,
,-12.04,5.167,-2.033,,,,,,,,,
,-12.048,5.157,-2.042,,,,,,,,,
JJ,-13.799,5.868,-1.129,,,,,,,,,
,-13.779,5.863,-1.07,,,,,,,,,
,-13.754,5.851,-1.084,,,,,,,,,
