Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.962,4.183,0.29,,2.248,8.9,8.799,60.314,24.3,19.4,,137.5
,-6.945,4.26,0.31,,,,,,,,,
,-7.01,4.158,0.266,,,,,,,,,
POV-I,-16.412,8.243,-2.643,,,,,,,,,
,-16.388,8.312,-2.584,,,,,,,,,
,-16.25,8.312,-2.513,,,,,,,,,
QD1-O,-13.669,9.144,0.978,,1.424,4.5,,,,,,
,-13.702,9.14,1.098,,,,,,,,,
,-13.583,9.211,0.987,,,,,,,,,
QD1-I,-16.795,9.451,-1.717,,,,,,,,,
,-16.725,9.464,-1.556,,,,,,,,,
,-16.731,9.574,-1.576,,,,,,,,,
QV-O,-17.045,9.531,-1.704,,5.719,17.2,,,,,,
,-16.958,9.535,-1.692,,,,,,,,,
,-17.017,9.535,-1.673,,,,,,,,,
QV-I,-20.133,7.835,-2.862,,,,,,,,,
,-20.136,7.82,-2.903,,,,,,,,,
,-20.099,7.807,-2.913,,,,,,,,,
POD-O,-9.208,5.291,-0.477,,0.711,2.9,,,,,,
,-9.21,5.282,-0.428,,,,,,,,,
,-9.057,5.162,-0.47,,,,,,,,,
POD-I,-16.144,8.281,-2.82,,,,,,,,,
,-16.261,8.148,-2.841,,,,,,,,,
,-16.297,8.104,-2.878,,,,,,,,,
QD2-O,-14.608,9.681,0.7,,0.794,1.9,,,,,,
,-14.673,9.728,0.691,,,,,,,,,
,-14.716,9.755,0.707,,,,,,,,,
QD2-I,-16.889,9.613,-1.917,,,,,,,,,
,-16.842,9.527,-1.72,,,,,,,,,
,-16.893,9.506,-1.744,,,,,,,,,
QD3-O,-14.282,9.577,1.591,,0.826,3.7,,,,,,
,-14.322,9.589,1.585,,,,,,,,,
,-14.357,9.609,1.575,,,,,,,,,
QD3-I,-16.614,9.324,-0.594,,,,,,,,,
,-16.629,9.305,-0.592,,,,,,,,,
,-16.645,9.21,-0.589,,,,,,,,,
QD4-O,-15.645,9.451,0.484,,0.863,1.2,,,,,,
,-15.663,9.441,0.464,,,,,,,,,
,-15.665,9.351,0.42,,,,,,,,,
QD4-I,-16.929,9.07,-0.952,,,,,,,,,
,-16.922,9.083,-0.934,,,,,,,,,
,-16.907,9.125,-0.829,,,,,,,,,
ABP,-9.759,1.161,-2.562,,,,,,,,,
,-9.758,1.24,-2.588,,,,,,,,,
,-9.757,1.257,-2.627,,,,,,,,,
PBP,-14.372,7.543,-0.936,,,,,,,,,
,-14.339,7.509,-0.937,,,,,,,,,
,-14.345,7.483,-0.951,,,,,,,,,
JJ,-16.547,8.688,0.612,,,,,,,,,
,-16.408,8.756,0.524,,,,,,,,,
,-16.519,8.703,0.539,,,,,,,,,
