Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.619,3.672,0.649,,1.412,5.3,6.392,72.856,15.8,15.1,,90.6
,-3.605,3.706,0.624,,,,,,,,,
,-3.611,3.68,0.65,,,,,,,,,
POV-I,-9.101,5.741,-1.132,,,,,,,,,
,-9.104,5.698,-1.366,,,,,,,,,
,-9.047,5.515,-1.402,,,,,,,,,
QD1-O,-8.26,7.053,1.473,,0.911,2,,,,,,
,-8.441,7.123,1.44,,,,,,,,,
,-8.376,7.117,1.38,,,,,,,,,
QD1-I,-9.822,7.101,-0.721,,,,,,,,,
,-9.783,7.035,-0.773,,,,,,,,,
,-9.672,6.951,-0.865,,,,,,,,,
QV-O,-9.899,7.088,-0.82,,3.415,8.9,,,,,,
,-9.865,7.087,-0.73,,,,,,,,,
,-9.925,7.053,-0.823,,,,,,,,,
QV-I,-11.715,5.443,-1.946,,,,,,,,,
,-11.707,5.538,-1.898,,,,,,,,,
,-11.694,5.517,-1.978,,,,,,,,,
POD-O,-5.71,4.422,-0.425,,0.533,1.2,,,,,,
,-5.761,4.473,-0.376,,,,,,,,,
,-5.77,4.452,-0.32,,,,,,,,,
POD-I,-9.054,5.377,-2.021,,,,,,,,,
,-9.039,5.483,-2.005,,,,,,,,,
,-9.046,5.491,-1.779,,,,,,,,,
QD2-O,-8.416,6.696,0.575,,0.587,1.5,,,,,,
,-8.49,6.697,0.524,,,,,,,,,
,-8.405,6.746,0.59,,,,,,,,,
QD2-I,-9.638,6.458,-1.232,,,,,,,,,
,-9.645,6.376,-1.212,,,,,,,,,
,-9.684,6.29,-1.145,,,,,,,,,
QD3-O,-8.443,6.512,0.971,,0.54,1.1,,,,,,
,-8.437,6.538,1.007,,,,,,,,,
,-8.428,6.501,0.965,,,,,,,,,
QD3-I,-10.095,5.785,-0.663,,,,,,,,,
,-10.114,5.917,-0.803,,,,,,,,,
,-10.123,5.892,-0.701,,,,,,,,,
QD4-O,-9.329,6.121,0.308,,0.456,0.4,,,,,,
,-9.314,6.196,0.323,,,,,,,,,
,-9.362,6.198,0.335,,,,,,,,,
QD4-I,-9.868,5.87,-0.329,,,,,,,,,
,-9.862,5.913,-0.328,,,,,,,,,
,-9.889,5.937,-0.35,,,,,,,,,
ABP,-5.515,0.887,-2.346,,,,,,,,,
,-5.517,1.035,-2.471,,,,,,,,,
,-5.455,0.911,-2.364,,,,,,,,,
PBP,-9.18,5.236,-0.796,,,,,,,,,
,-9.12,5.217,-0.893,,,,,,,,,
,-9.123,5.181,-0.864,,,,,,,,,
JJ,-10.362,6.283,-0.178,,,,,,,,,
,-10.335,6.262,-0.34,,,,,,,,,
,-10.289,6.195,-0.365,,,,,,,,,
