Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.27,3.985,-0.19,,1.915,6.1,8.145,63.191,21.3,16.4,13.3,117.2
,-6.178,3.903,-0.104,,,,,,,,,
,-6.194,3.838,-0.099,,,,,,,,,
POV-I,-13.699,7.718,-3.767,,,,,,,,,
,-13.663,7.686,-3.79,,,,,,,,,
,-13.657,7.659,-3.859,,,,,,,,,
QD1-O,-12.119,8.15,-0.218,,1.169,2.5,,,,,,
,-12.026,8.195,-0.24,,,,,,,,,
,-12.09,8.21,-0.269,,,,,,,,,
QD1-I,-13.956,8.551,-2.907,,,,,,,,,
,-14.032,8.527,-2.939,,,,,,,,,
,-14.063,8.517,-2.994,,,,,,,,,
QV-O,-14.261,8.705,-2.99,,6.283,12.4,,,,,,
,-14.227,8.615,-3.053,,,,,,,,,
,-14.298,8.734,-2.959,,,,,,,,,
QV-I,-16.143,6.428,-5.203,,,,,,,,,
,-16.027,6.431,-5.164,,,,,,,,,
,-16.207,6.612,-5.085,,,,,,,,,
POD-O,-8.131,4.483,-1.689,,0.629,2.3,,,,,,
,-8.132,4.484,-1.583,,,,,,,,,
,-8.134,4.469,-1.571,,,,,,,,,
POD-I,-13.723,6.519,-3.963,,,,,,,,,
,-13.693,6.488,-4.006,,,,,,,,,
,-13.705,6.616,-4.085,,,,,,,,,
QD2-O,-12.591,8.244,-1.273,,0.726,1.6,,,,,,
,-12.711,8.305,-1.327,,,,,,,,,
,-12.745,8.342,-1.284,,,,,,,,,
QD2-I,-14.258,7.611,-3.659,,,,,,,,,
,-14.209,7.559,-3.699,,,,,,,,,
,-14.249,7.617,-3.592,,,,,,,,,
QD3-O,-12.429,8.382,-0.896,,0.823,2,,,,,,
,-12.493,8.364,-1.028,,,,,,,,,
,-12.515,8.418,-0.949,,,,,,,,,
QD3-I,-14.132,8.058,-2.919,,,,,,,,,
,-14.081,7.972,-2.917,,,,,,,,,
,-14.068,7.965,-2.938,,,,,,,,,
QD4-O,-13.403,8.142,-2.159,,0.473,0.8,,,,,,
,-13.484,8.193,-2.102,,,,,,,,,
,-13.489,8.177,-2.094,,,,,,,,,
QD4-I,-14.209,8.007,-3.134,,,,,,,,,
,-14.271,8.202,-3.235,,,,,,,,,
,-14.238,8.01,-3.124,,,,,,,,,
ABP,-8.052,0.698,-3.334,,,,,,,,,
,-8.015,0.736,-3.395,,,,,,,,,
,-8.01,0.689,-3.319,,,,,,,,,
PBP,-12.401,6.465,-3.394,,,,,,,,,
,-12.395,6.468,-3.384,,,,,,,,,
,-12.41,6.474,-3.385,,,,,,,,,
JJ,-14.152,7.755,-2.661,,,,,,,,,
,-14.091,7.691,-2.557,,,,,,,,,
,-14.038,7.626,-2.519,,,,,,,,,
