Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-9.378,7.22,-0.655,,11.298,104,,,35.1,36.4,26.4,210.4
,-9.384,7.288,-0.604,,,,,,,,,
,-9.362,7.273,-0.662,,,,,,,,,
POV-I,-23.683,7.992,-8.582,,,,,,,,,
,-23.71,8.005,-8.628,,,,,,,,,
,-23.605,7.901,-8.654,,,,,,,,,
QD1-O,-20.468,17.155,-0.851,,6.25,34.9,,11.529,,,,
,-20.473,17.156,-0.896,,,,,11.542,,,,
,-20.582,17.106,-0.836,,,,,11.564,,,,
QD1-I,-24.901,10.056,-7.353,,,,,,,,,
,-24.789,10.15,-7.123,,,,,,,,,
,-24.888,10.185,-7.048,,,,,,,,,
QV-O,-25.779,10.614,-6.515,,38.554,196.7,QV dil set as 8.27 cm,,,,,
,-25.708,10.582,-6.604,,,,,,,,,
,-25.69,10.574,-6.559,,,,,,,,,
QV-I,-29.513,4.794,-9.072,,,,,,,,,
,-29.54,4.758,-9.131,,,,,,,,,
,-29.766,4.8,-9.022,,,,,,,,,
POD-O,-10.288,10.765,-3.596,,3.387,22.2,,,,,,
,-10.364,10.84,-3.496,,,,,,,,,
,-10.343,10.84,-3.462,,,,,,,,,
POD-I,-20.652,13.761,-9.414,,,,,,,,,
,-20.732,13.793,-9.447,,,,,,,,,
,-20.687,13.848,-9.365,,,,,,,,,
QD2-O,-17.138,17.155,-1.922,,6.129,30.3,,,,,,
,-17.143,17.156,-1.884,,,,,,,,,
,-17.035,17.106,-1.858,,,,,,,,,
QD2-I,-21.748,16.294,-7.693,,,,,,,,,
,-21.76,16.206,-7.622,,,,,,,,,
,-21.789,16.232,-7.634,,,,,,,,,
QD3-O,-18.821,17.555,-2.401,,5.682,34.3,,,,,,
,-18.774,17.564,-2.396,,,,,,,,,
,-18.916,17.509,-2.55,,,,,,,,,
QD3-I,-22.082,15.73,-7.131,,,,,,,,,
,-22.058,15.694,-7.228,,,,,,,,,
,-22.072,15.73,-7.212,,,,,,,,,
QD4-O,-20.134,16.173,-3.502,,3.609,13.3,,,,,,
,-20.074,16.13,-3.517,,,,,,,,,
,-20.052,16.139,-3.522,,,,,,,,,
QD4-I,-22.436,14.902,-5.614,,,,,,,,,
,-22.469,15.253,-5.504,,,,,,,,,
,-22.442,15.242,-5.375,,,,,,,,,
ABP,-11.514,0.875,-7.051,,,,,,,,,
,-11.53,0.762,-6.99,,,,,,,,,
,-11.536,0.898,-7.096,,,,,,,,,
PBP,-18.695,11.803,-7.651,,,,,-6.45,,,,
,-18.638,11.809,-7.59,,,,,-6.415,,,,
,-18.606,11.79,-7.696,,,,,-6.392,,,,
JJ,-21.703,14.269,-5.151,,,,,-3.509,,,,
,-21.739,14.15,-5.09,,,,,-3.56,,,,
,-21.8,14.233,-5.196,,,,,-3.522,,,,
