Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.816,3.261,0.331,,1.663,4.8,4.908,74.864,19.8,10.2,5.8,99.6
,-5.841,3.237,0.318,,,,,,,,,
,-5.831,3.27,0.279,,,,,,,,,
POV-I,-10.603,4.063,-1.315,,,,,,,,,
,-10.602,4.029,-1.299,,,,,,,,,
,-10.699,4.088,-1.293,,,,,,,,,
QD1-O,-10.139,4.683,0.408,,0.275,0.6,,,,,,
,-10.137,4.662,0.471,,,,,,,,,
,-10.123,4.666,0.453,,,,,,,,,
QD1-I,-11.109,4.89,-1.088,,,,,,,,,
,-11.069,4.831,-1.079,,,,,,,,,
,-11.063,4.839,-1.001,,,,,,,,,
QV-O,-11.192,4.694,-1.274,,1.184,2.2,,,,,,
,-11.213,4.694,-1.266,,,,,,,,,
,-11.199,4.707,-1.199,,,,,,,,,
QV-I,-11.781,3.232,-1.807,,,,,,,,,
,-11.59,3.173,-1.892,,,,,,,,,
,-11.572,3.197,-1.894,,,,,,,,,
POD-O,-7.604,2.749,0.113,,0.735,1.8,,,,,,
,-7.707,2.837,0.177,,,,,,,,,
,-7.749,2.855,0.215,,,,,,,,,
POD-I,-10.72,4.083,-1.078,,,,,,,,,
,-10.683,4.114,-1.006,,,,,,,,,
,-10.688,4.077,-0.992,,,,,,,,,
QD2-O,-10.474,4.85,0.43,,0.396,0.8,,,,,,
,-10.586,4.919,0.352,,,,,,,,,
,-10.655,4.939,0.336,,,,,,,,,
QD2-I,-11.353,4.697,-0.635,,,,,,,,,
,-11.289,4.633,-0.651,,,,,,,,,
,-11.299,4.566,-0.733,,,,,,,,,
QD4-O,-10.548,4.475,0.108,,0.215,0.2,,,,,,
,-10.524,4.432,0.061,,,,,,,,,
,-10.547,4.411,0.04,,,,,,,,,
QD4-I,-11.223,4.338,-0.414,,,,,,,,,
,-11.201,4.274,-0.462,,,,,,,,,
,-11.24,4.303,-0.4,,,,,,,,,
ABP,-7.056,0.145,-1.364,,,,,,,,,
,-7.121,0.219,-1.433,,,,,,,,,
,-7.097,0.218,-1.409,,,,,,,,,
PBP,-9.925,3.149,-0.791,,,,,,,,,
,-9.932,3.165,-0.805,,,,,,,,,
,-9.951,3.165,-0.808,,,,,,,,,
JJ,-11.289,3.92,-0.389,,,,,,,,,
,-11.305,3.956,-0.388,,,,,,,,,
,-11.27,3.93,-0.324,,,,,,,,,
