Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.661,3.884,0.316,,1.446,5.5,6.432,82.122,16.4,14.7,,98.2
,-3.609,4.016,0.363,,,,,,,,,
,-3.655,3.888,0.302,,,,,,,,,
POV-I,-9.234,6.546,-2.135,,,,,,,,,
,-9.261,6.416,-2.13,,,,,,,,,
,-9.248,6.437,-2.105,,,,,,,,,
QD1-O,-7.849,7.577,0.711,,0.519,1,,,,,,
,-7.821,7.575,0.71,,,,,,,,,
,-7.911,7.617,0.733,,,,,,,,,
QD1-I,-9.63,7.785,-1.53,,,,,,,,,
,-9.584,7.808,-1.541,,,,,,,,,
,-9.617,7.774,-1.458,,,,,,,,,
QV-O,-9.844,7.666,-1.626,,2.935,10.1,,,,,,
,-9.84,7.697,-1.665,,,,,,,,,
,-9.82,7.721,-1.669,,,,,,,,,
QV-I,-12.267,6.38,-3.158,,,,,,,,,
,-12.2,6.38,-3.231,,,,,,,,,
,-12.231,6.343,-3.237,,,,,,,,,
POD-O,-5.44,3.933,0.827,,0.579,1.6,,,,,,
,-5.458,3.968,0.833,,,,,,,,,
,-5.358,3.784,0.923,,,,,,,,,
POD-I,-9.625,6.28,-1.09,,,,,,,,,
,-9.542,6.173,-1.023,,,,,,,,,
,-9.506,6.24,-1.037,,,,,,,,,
QD2-O,-8.407,7.163,1.99,,1.008,2.2,,,,,,
,-8.483,7.235,1.967,,,,,,,,,
,-8.475,7.206,1.99,,,,,,,,,
QD2-I,-10.096,7.18,-0.018,,,,,,,,,
,-10.072,7.227,-0.071,,,,,,,,,
,-10.111,7.213,0.011,,,,,,,,,
QD3-O,-8.992,6.941,-0.107,,0.362,0.8,,,,,,
,-9.053,6.995,-0.151,,,,,,,,,
,-9.04,7.014,-0.129,,,,,,,,,
QD3-I,-10.041,6.757,-1.293,,,,,,,,,
,-10.077,6.576,-1.239,,,,,,,,,
,-10.068,6.798,-1.253,,,,,,,,,
QD4-O,-9.406,7.224,-0.508,,0.432,0.5,,,,,,
,-9.477,7.23,-0.53,,,,,,,,,
,-9.474,7.194,-0.515,,,,,,,,,
QD4-I,-10.2,7.09,-1.15,,,,,,,,,
,-10.207,7.085,-1.214,,,,,,,,,
,-10.178,7.079,-1.215,,,,,,,,,
ABP,-5.598,0.882,-2.039,,,,,,,,,
,-5.53,1.104,-2.055,,,,,,,,,
,-5.602,0.954,-2.119,,,,,,,,,
PBP,-8.834,5.688,-0.783,,,,,,,,,
,-8.782,5.697,-0.764,,,,,,,,,
,-8.867,5.772,-0.78,,,,,,,,,
JJ,-10.323,6.81,0.462,,,,,,,,,
,-10.354,6.896,0.475,,,,,,,,,
,-10.329,6.843,0.48,,,,,,,,,
