Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.148,2.382,-0.045,,0.433,1.6,4.839,74.595,13.3,11.2,5.1,67.9
,-4.138,2.384,-0.038,,,,,,,,,
,-4.124,2.408,-0.086,,,,,,,,,
POV-I,-9.14,4.82,-1.967,,,,,,,,,
,-9.106,4.804,-1.933,,,,,,,,,
,-9.112,4.803,-1.96,,,,,,,,,
QD1-O,-7.798,5.189,0.059,,0.397,0.8,,,,,,
,-7.75,5.163,0.053,,,,,,,,,
,-7.802,5.196,0.048,,,,,,,,,
QD1-I,-9.237,5.263,-1.588,,,,,,,,,
,-9.236,5.296,-1.619,,,,,,,,,
,-9.237,5.291,-1.616,,,,,,,,,
QV-O,-9.397,5.334,-1.541,,1.538,3.2,,,,,,
,-9.417,5.341,-1.515,,,,,,,,,
,-9.425,5.325,-1.589,,,,,,,,,
QV-I,-10.879,3.918,-2.341,,,,,,,,,
,-10.87,3.92,-2.385,,,,,,,,,
,-10.837,3.899,-2.428,,,,,,,,,
POD-O,-5.347,2.99,-0.29,,0.158,0.5,,,,,,
,-5.395,3.019,-0.251,,,,,,,,,
,-5.381,2.988,-0.244,,,,,,,,,
POD-I,-9.036,4.715,-1.473,,,,,,,,,
,-9.104,4.744,-1.479,,,,,,,,,
,-9.12,4.719,-1.454,,,,,,,,,
QD2-O,-8.072,5.278,0.445,,0.23,0.4,,,,,,
,-8.022,5.274,0.466,,,,,,,,,
,-8.016,5.261,0.484,,,,,,,,,
QD2-I,-9.527,5.38,-1.046,,,,,,,,,
,-9.504,5.376,-1.006,,,,,,,,,
,-9.527,5.367,-1.031,,,,,,,,,
QD3-O,-7.882,5.455,-0.602,,0.234,0.5,,,,,,
,-7.942,5.479,-0.622,,,,,,,,,
,-8.009,5.509,-0.629,,,,,,,,,
QD3-I,-9.258,5.112,-1.607,,,,,,,,,
,-9.326,5.065,-1.639,,,,,,,,,
,-9.26,5.081,-1.542,,,,,,,,,
QD4-O,-8.787,5.368,-0.995,,0.184,0.2,,,,,,
,-8.805,5.395,-0.989,,,,,,,,,
,-8.748,5.4,-0.985,,,,,,,,,
QD4-I,-9.367,5.224,-1.456,,,,,,,,,
,-9.376,5.159,-1.47,,,,,,,,,
,-9.369,5.119,-1.52,,,,,,,,,
ABP,-5.539,0.51,-1.88,,,,,,,,,
,-5.539,0.524,-1.856,,,,,,,,,
,-5.569,0.512,-1.861,,,,,,,,,
PBP,-8.016,4.046,-1.655,,,,,,,,,
,-7.997,4.036,-1.602,,,,,,,,,
,-7.981,4.023,-1.6,,,,,,,,,
JJ,-9.174,4.733,-1.037,,,,,,,,,
,-9.163,4.709,-1.016,,,,,,,,,
,-9.173,4.697,-1.019,,,,,,,,,
