Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.863,3.333,0.079,,1.103,4.2,4.542,66.628,15.8,8.3,6.9,94.5
,-5.913,3.315,0.011,,,,,,,,,
,-5.928,3.319,-0.045,,,,,,,,,
POV-I,-11.047,3.507,-1.2,,,,,,,,,
,-11.052,3.478,-1.261,,,,,,,,,
,-11.049,3.464,-1.242,,,,,,,,,
QD1-O,-10.505,4.322,0.325,,0.319,0.5,,,,,,
,-10.491,4.244,0.36,,,,,,,,,
,-10.552,4.284,0.335,,,,,,,,,
QD1-I,-11.663,4.186,-1.262,,,,,,,,,
,-11.749,4.085,-1.231,,,,,,,,,
,-11.707,4.076,-1.202,,,,,,,,,
QV-O,-11.764,4.214,-1.17,,0.899,1.7,,,,,,
,-11.76,4.256,-1.126,,,,,,,,,
,-11.796,4.26,-1.122,,,,,,,,,
QV-I,-11.991,2.594,-1.679,,,,,,,,,
,-11.957,2.681,-1.756,,,,,,,,,
,-11.912,2.674,-1.749,,,,,,,,,
POD-O,-7.847,2.912,0.19,,0.615,1.2,,,,,,
,-7.929,2.942,0.155,,,,,,,,,
,-7.988,2.906,0.177,,,,,,,,,
POD-I,-11.28,3.868,-1.197,,,,,,,,,
,-11.303,3.933,-1.198,,,,,,,,,
,-11.3,3.957,-1.143,,,,,,,,,
QD2-O,-10.921,4.561,0.109,,0.214,0.4,,,,,,
,-10.924,4.582,0.144,,,,,,,,,
,-10.902,4.592,0.157,,,,,,,,,
QD2-I,-11.581,4.329,-1.07,,,,,,,,,
,-11.568,4.34,-1.041,,,,,,,,,
,-11.624,4.347,-0.997,,,,,,,,,
QD4-O,-11.001,4.033,-0.486,,0.265,0.2,,,,,,
,-11.03,4.079,-0.49,,,,,,,,,
,-11.031,4.074,-0.45,,,,,,,,,
QD4-I,-11.504,3.725,-0.976,,,,,,,,,
,-11.491,3.768,-0.989,,,,,,,,,
,-11.498,3.715,-0.979,,,,,,,,,
ABP,-6.895,0.15,-1.198,,,,,,,,,
,-6.973,0.054,-1.153,,,,,,,,,
,-6.904,0.149,-1.146,,,,,,,,,
PBP,-10.212,2.784,-1.172,,,,,,,,,
,-10.097,2.777,-1.169,,,,,,,,,
,-10.187,2.794,-1.123,,,,,,,,,
JJ,-11.502,3.436,-0.907,,,,,,,,,
,-11.535,3.465,-0.963,,,,,,,,,
,-11.502,3.435,-0.906,,,,,,,,,
