Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.306,3.964,0.85,,1.187,6.6,8.3,81.068,22.1,15.4,12.3,110.9
,-6.246,4.035,0.772,,,,,,,,,
,-6.283,3.971,0.744,,,,,,,,,
POV-I,-13.916,7.615,-2.245,,,,,,,,,
,-13.863,7.46,-2.3,,,,,,,,,
,-13.873,7.483,-2.33,,,,,,,,,
QD1-O,-11.857,8.307,1.065,,0.867,2.3,,,,,,
,-11.814,8.29,1.078,,,,,,,,,
,-11.724,8.239,1.096,,,,,,,,,
QD1-I,-14.275,8.756,-1.372,,,,,,,,,
,-14.255,8.821,-1.276,,,,,,,,,
,-14.249,8.784,-1.364,,,,,,,,,
QV-O,-14.47,8.828,-1.337,,3.596,10.9,,,,,,
,-14.458,9.069,-1.535,,,,,,,,,
,-14.508,8.897,-1.413,,,,,,,,,
QV-I,-16.768,6.95,-3.056,,,,,,,,,
,-16.713,6.889,-3.058,,,,,,,,,
,-16.76,6.92,-3.041,,,,,,,,,
POD-O,-8.184,5.144,-1.209,,0.608,2,,,,,,
,-8.145,5.129,-1.144,,,,,,,,,
,-8.116,5.069,-1.094,,,,,,,,,
POD-I,-13.879,7.149,-3.438,,,,,,,,,
,-13.791,7.27,-3.409,,,,,,,,,
,-13.823,7.207,-3.399,,,,,,,,,
QD2-O,-12.539,8.614,-0.454,,0.715,1.8,,,,,,
,-12.517,8.61,-0.434,,,,,,,,,
,-12.437,8.575,-0.404,,,,,,,,,
QD2-I,-14.349,7.972,-2.652,,,,,,,,,
,-14.307,7.864,-2.664,,,,,,,,,
,-14.3,7.927,-2.603,,,,,,,,,
QD3-O,-12.542,8.004,-1.526,,0.803,1.5,,,,,,
,-12.727,8.072,-1.551,,,,,,,,,
,-12.703,8.067,-1.589,,,,,,,,,
QD3-I,-14.311,7.375,-2.943,,,,,,,,,
,-14.338,7.441,-2.91,,,,,,,,,
,-14.331,7.413,-2.924,,,,,,,,,
QD4-O,-13.898,7.665,-1.991,,0.558,0.8,,,,,,
,-13.858,7.714,-2.104,,,,,,,,,
,-13.845,7.807,-2.153,,,,,,,,,
QD4-I,-14.572,7.549,-3.01,,,,,,,,,
,-14.58,7.544,-3.024,,,,,,,,,
,-14.59,7.5,-3.048,,,,,,,,,
ABP,-8.62,0.713,-3.785,,,,,,,,,
,-8.673,0.864,-3.853,,,,,,,,,
,-8.658,0.835,-3.859,,,,,,,,,
PBP,-12.605,5.912,-3.579,,,,,,,,,
,-12.621,5.89,-3.633,,,,,,,,,
,-12.617,5.887,-3.543,,,,,,,,,
JJ,-14.388,6.815,-2.469,,,,,,,,,
,-14.354,6.893,-2.604,,,,,,,,,
,-14.416,7.078,-2.53,,,,,,,,,
