Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.29,3.498,0.024,,1.219,3.3,6.747,94.219,14.8,8.7,5.7,93.1
,-6.294,3.523,-0.015,,,,,,,,,
,-6.21,3.512,-0.019,,,,,,,,,
POV-I,-11.124,3.662,-2.004,,,,,,,,,
,-11.134,3.672,-2.001,,,,,,,,,
,-11.184,3.755,-1.954,,,,,,,,,
QD1/2-O,-10.414,4.168,-0.092,,0.245,0.4,,,,,,
,-10.49,4.15,-0.007,,,,,,,,,
,-10.496,4.058,0.117,,,,,,,,,
QD1/2-I,-11.359,4.044,-1.544,,,,,,,,,
,-11.332,4.066,-1.448,,,,,,,,,
,-11.381,4.109,-1.462,,,,,,,,,
QV-O,-11.383,3.957,-1.675,,1.215,1.7,,,,,,
,-11.374,3.939,-1.689,,,,,,,,,
,-11.362,3.95,-1.684,,,,,,,,,
QV-I,-11.426,2.669,-2.627,,,,,,,,,
,-11.381,2.705,-2.647,,,,,,,,,
,-11.454,2.731,-2.648,,,,,,,,,
POD-O,-7.88,3.018,-0.339,,0.586,1.6,,,,,,
,-7.807,2.995,-0.316,,,,,,,,,
,-7.85,3.008,-0.333,,,,,,,,,
POD-I,-10.838,3.48,-2.243,,,,,,,,,
,-10.799,3.4,-2.208,,,,,,,,,
,-10.842,3.477,-2.221,,,,,,,,,
QD3-O,-10.682,4.439,-0.575,,0.263,0.3,,,,,,
,-10.679,4.27,-0.614,,,,,,,,,
,-10.726,4.335,-0.573,,,,,,,,,
QD3-I,-11.322,4.001,-1.802,,,,,,,,,
,-11.377,3.95,-1.893,,,,,,,,,
,-11.341,3.989,-1.799,,,,,,,,,
QD4-O,-10.101,3.656,-2.081,,0.195,0.1,,,,,,
,-10.09,3.648,-2.067,,,,,,,,,
,-10.072,3.645,-2.06,,,,,,,,,
QD4-I,-10.399,3.368,-2.485,,,,,,,,,
,-10.433,3.446,-2.483,,,,,,,,,
,-10.374,3.404,-2.497,,,,,,,,,
ABP,-6.095,0.167,-1.651,,,,,,,,,
,-6.101,0.125,-1.637,,,,,,,,,
,-6.137,0.16,-1.683,,,,,,,,,
PBP,-9.356,2.837,-2.173,,,,,,,,,
,-9.243,2.867,-2.132,,,,,,,,,
,-9.24,2.862,-2.132,,,,,,,,,
JJ,-10.306,3.331,-2.02,,,,,,,,,
,-10.387,3.426,-2.035,,,,,,,,,
,-10.399,3.359,-2.011,,,,,,,,,
