Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.275,3.444,0.061,,0.981,3.9,6.318,72.418,18.4,13.3,10.1,95.8
,-5.239,3.471,0.043,,,,,,,,,
,-5.245,3.485,0.038,,,,,,,,,
POV-I,-11.697,6.153,-2.448,,,,,,,,,
,-11.75,6.206,-2.478,,,,,,,,,
,-11.75,6.218,-2.452,,,,,,,,,
QD1-O,-10.223,7.105,0.309,,0.616,1.5,,,,,,
,-10.16,7.08,0.277,,,,,,,,,
,-10.197,7.096,0.255,,,,,,,,,
QD1-I,-12.04,7.128,-1.878,,,,,,,,,
,-11.998,7.146,-1.787,,,,,,,,,
,-11.995,7.195,-1.808,,,,,,,,,
QV-O,-12.362,7.259,-1.85,,3.075,6.7,,,,,,
,-12.272,7.263,-1.854,,,,,,,,,
,-12.376,7.297,-1.813,,,,,,,,,
QV-I,-14.198,5.214,-3.183,,,,,,,,,
,-14.201,5.214,-3.151,,,,,,,,,
,-14.189,5.314,-3.129,,,,,,,,,
POD-O,-6.91,4.018,-0.741,,0.518,1.1,,,,,,
,-6.86,3.969,-0.682,,,,,,,,,
,-6.889,3.994,-0.705,,,,,,,,,
POD-I,-11.66,6.019,-2.57,,,,,,,,,
,-11.675,6.061,-2.58,,,,,,,,,
,-11.62,6.098,-2.581,,,,,,,,,
QD2-O,-10.274,6.915,-0.176,,0.496,0.9,,,,,,
,-10.333,6.955,-0.202,,,,,,,,,
,-10.403,7.014,-0.218,,,,,,,,,
QD2-I,-12.007,6.72,-2.205,,,,,,,,,
,-12.038,6.703,-2.159,,,,,,,,,
,-12.027,6.681,-2.136,,,,,,,,,
QD3-O,-10.919,7.093,-0.382,,0.439,1.2,,,,,,
,-10.968,7.197,-0.388,,,,,,,,,
,-11.06,7.175,-0.403,,,,,,,,,
QD3-I,-12.246,6.635,-1.99,,,,,,,,,
,-12.219,6.646,-2.031,,,,,,,,,
,-12.287,6.656,-2.079,,,,,,,,,
QD4-O,-11.48,6.807,-1.03,,0.416,0.6,,,,,,
,-11.546,6.687,-1.064,,,,,,,,,
,-11.565,6.744,-1.054,,,,,,,,,
QD4-I,-12.289,6.383,-1.914,,,,,,,,,
,-12.292,6.385,-1.88,,,,,,,,,
,-12.291,6.331,-1.906,,,,,,,,,
ABP,-7.29,0.234,-2.538,,,,,,,,,
,-7.291,0.153,-2.546,,,,,,,,,
,-7.233,0.346,-2.645,,,,,,,,,
PBP,-10.529,5.288,-1.874,,,,,,,,,
,-10.552,5.292,-1.858,,,,,,,,,
,-10.493,5.285,-1.819,,,,,,,,,
JJ,-12.096,6.258,-0.988,,,,,,,,,
,-12.11,6.228,-1.025,,,,,,,,,
,-12.09,6.213,-0.979,,,,,,,,,
