Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.121,3.334,1.087,,1.822,9.7,,,17.6,,,99.1
,-3.076,3.356,1.085,,,,,,,,,
,-3.064,3.35,1.07,,,,,,,,,
POV-I,-9.141,6.32,-1.621,,,,,,,,,
,-9.146,6.251,-1.463,,,,,,,,,
,-9.145,6.235,-1.442,,,,,,,,,
QD1-O,-6.648,7.411,1.24,,1.359,3,,,,,,
,-6.651,7.394,1.191,,,,,,,,,
,-6.658,7.425,1.173,,,,,,,,,
QD1-I,-9.228,7.783,-0.807,,,,,,,,,
,-9.205,7.894,-0.672,,,,,,,,,
,-9.225,7.889,-0.669,,,,,,,,,
QV-O,-9.242,8.085,-0.426,,6.509,13.7,,,,,,
,-9.199,8.076,-0.469,,,,,,,,,
,-9.177,8.028,-0.398,,,,,,,,,
QV-I,-12.12,5.766,-1.739,,,,,,,,,
,-12.1,5.753,-1.766,,,,,,,,,
,-12.105,5.813,-1.771,,,,,,,,,
POD-O,-5.062,3.408,-1.525,,1.444,2.5,,,,,,
,-5.064,3.36,-1.578,,,,,,,,,
,-5.05,3.343,-1.578,,,,,,,,,
POD-I,-9.981,4.866,-3.571,,,,,,,,,
,-10.075,4.82,-3.556,,,,,,,,,
,-10.097,4.839,-3.519,,,,,,,,,
QD2/3-O,-8.253,7.138,-1.12,,0.986,3.3,,,,,,
,-8.2,7.18,-1.093,,,,,,,,,
,-8.171,7.145,-1.085,,,,,,,,,
QD2/3-I,-10.181,6.474,-2.754,,,,,,,,,
,-10.213,6.506,-2.684,,,,,,,,,
,-10.174,6.5,-2.747,,,,,,,,,
QD4-O,-9.197,5.752,-2.647,,0.987,1.6,,,,,,
,-9.127,5.748,-2.625,,,,,,,,,
,-9.07,5.71,-2.68,,,,,,,,,
QD4-I,-10.446,5.287,-3.285,,,,,,,,,
,-10.429,5.261,-3.282,,,,,,,,,
,-10.454,5.336,-3.319,,,,,,,,,
ABP,-5.84,-0.742,-2.993,,,,,,,,,
,-5.861,-0.763,-2.975,,,,,,,,,
,-5.853,-0.772,-2.936,,,,,,,,,
PBP,-8.997,3.987,-3.486,,,,,,,,,
,-8.952,3.966,-3.407,,,,,,,,,
,-8.931,3.958,-3.387,,,,,,,,,
JJ,-10.488,5.575,-2.659,,,,,,,,,
,-10.426,5.447,-2.533,,,,,,,,,
,-10.427,5.414,-2.585,,,,,,,,,
