Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.417,4.102,-1.194,,3.181,18.1,9.754,64.759,29.3,20.5,17.8,159.8
,-8.512,3.868,-1.123,,,,,,,,,
,-8.503,3.977,-1.133,,,,,,,,,
POV-I,-19.417,6.475,-6.464,,,,,,,,,
,-19.353,6.449,-6.492,,,,,,,,,
,-19.355,6.425,-6.495,,,,,,,,,
QD1-O,-17.071,8.229,-2.161,,1.276,5.4,,,,,,
,-17.033,8.209,-2.103,,,,,,,,,
,-17.013,8.197,-2.079,,,,,,,,,
QD1-I,-19.981,7.75,-5.563,,,,,,,,,
,-19.977,7.797,-5.602,,,,,,,,,
,-20.024,7.758,-5.617,,,,,,,,,
QV-O,-20.304,7.869,-5.731,,9.389,40.6,,,,,,
,-20.415,7.98,-5.645,,,,,,,,,
,-20.397,7.933,-5.638,,,,,,,,,
QV-I,-23.706,5.468,-7.889,,,,,,,,,
,-23.648,5.238,-7.949,,,,,,,,,
,-23.79,5.325,-7.971,,,,,,,,,
POD-O,-10.793,5.532,-1.276,,1.189,6.4,,,,,,
,-10.764,5.488,-1.274,,,,,,,,,
,-10.736,5.479,-1.307,,,,,,,,,
POD-I,-18.652,9.1,-4.639,,,,,,,,,
,-18.748,9.038,-4.692,,,,,,,,,
,-18.685,9.228,-4.931,,,,,,,,,
QD2-O,-17.049,9.937,0.001,,2.141,5,,,,,,
,-17.039,9.928,0.013,,,,,,,,,
,-17.06,9.941,0.036,,,,,,,,,
QD2-I,-19.432,10.281,-3.045,,,,,,,,,
,-19.426,10.241,-3.033,,,,,,,,,
,-19.348,10.271,-3.124,,,,,,,,,
QD3-O,-16.971,9.887,0.106,,1.854,6.8,,,,,,
,-17.05,9.9,0.08,,,,,,,,,
,-17.043,9.885,0.063,,,,,,,,,
QD3-I,-19.461,9.624,-3.217,,,,,,,,,
,-19.339,9.408,-3.315,,,,,,,,,
,-19.243,9.326,-3.319,,,,,,,,,
QD4-O,-18.755,9.91,-1.454,,1.218,2.6,,,,,,
,-18.688,9.928,-1.419,,,,,,,,,
,-18.693,9.976,-1.368,,,,,,,,,
QD4-I,-19.835,9.88,-3.097,,,,,,,,,
,-19.802,9.804,-3.026,,,,,,,,,
,-19.781,9.827,-2.913,,,,,,,,,
ABP,-10.134,1.645,-4.893,,,,,,,,,
,-10.13,1.474,-4.943,,,,,,,,,
,-10.139,1.497,-4.929,,,,,,,,,
PBP,-16.885,8.156,-3.298,,,,,,,,,
,-16.804,8.221,-3.2,,,,,,,,,
,-16.79,8.188,-3.185,,,,,,,,,
JJ,-19.541,9.011,-1.631,,,,,,,,,
,-19.444,8.977,-1.769,,,,,,,,,
,-19.474,8.943,-1.63,,,,,,,,,
