Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.509,2.433,0.133,,1.183,2.4,4.908,73.784,11,7.9,5.3,71.4
,-4.509,2.35,0.095,,,,,,,,,
,-4.49,2.334,0.171,,,,,,,,,
POV-I,-8.44,2.522,-1.066,,,,,,,,,
,-8.522,2.526,-1.08,,,,,,,,,
,-8.553,2.61,-1.134,,,,,,,,,
QD1-O,-8.314,3.202,0.217,,0.219,0.3,,,,,,
,-8.252,3.188,0.215,,,,,,,,,
,-8.228,3.197,0.221,,,,,,,,,
QD1-I,-8.982,2.956,-0.849,,,,,,,,,
,-8.969,3.028,-0.829,,,,,,,,,
,-8.949,3.014,-0.856,,,,,,,,,
QV-O,-8.934,2.963,-0.941,,0.718,1,,,,,,
,-8.912,2.984,-0.941,,,,,,,,,
,-8.894,2.967,-0.904,,,,,,,,,
QV-I,-9.253,1.938,-1.44,,,,,,,,,
,-9.272,2.081,-1.464,,,,,,,,,
,-9.253,1.975,-1.477,,,,,,,,,
POD-O,-6.044,2.023,-0.172,,0.407,1,,,,,,
,-6.059,1.987,-0.122,,,,,,,,,
,-6.087,2.009,-0.109,,,,,,,,,
POD-I,-8.694,2.539,-1.299,,,,,,,,,
,-8.642,2.47,-1.24,,,,,,,,,
,-8.655,2.389,-1.266,,,,,,,,,
QD2-O,-8.48,3.172,-0.314,,0.287,0.4,,,,,,
,-8.566,3.202,-0.328,,,,,,,,,
,-8.533,3.166,-0.298,,,,,,,,,
QD2-I,-9.092,2.761,-1.283,,,,,,,,,
,-9.096,2.785,-1.289,,,,,,,,,
,-9.093,2.763,-1.274,,,,,,,,,
QD4-O,-8.731,2.787,-0.899,,0.064,0.1,,,,,,
,-8.745,2.763,-0.867,,,,,,,,,
,-8.723,2.742,-0.915,,,,,,,,,
QD4-I,-8.969,2.711,-1.273,,,,,,,,,
,-8.918,2.577,-1.252,,,,,,,,,
,-8.892,2.629,-1.259,,,,,,,,,
ABP,-5.199,0.002,-1.53,,,,,,,,,
,-5.204,0.005,-1.507,,,,,,,,,
,-5.236,0.086,-1.519,,,,,,,,,
PBP,-8.146,2.088,-1.157,,,,,,,,,
,-8.128,2.09,-1.154,,,,,,,,,
,-8.097,2.073,-1.167,,,,,,,,,
JJ,-8.931,2.415,-0.859,,,,,,,,,
,-8.929,2.365,-0.843,,,,,,,,,
,-8.998,2.449,-0.917,,,,,,,,,
