Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.37,3.095,0.107,,1.282,3.9,4.374,62.816,15.3,9.67,6.08,95
,-6.293,2.951,0.172,,,,,,,,,
,-6.296,2.95,0.135,,,,,,,,,
POV-I,-11.418,3.146,-1.465,,,,,,,,,
,-11.407,3.131,-1.427,,,,,,,,,
,-11.426,3.122,-1.411,,,,,,,,,
QD1-O,-10.823,3.979,0.02,,0.204,0.4,,,,,,
,-10.791,3.942,0.084,,,,,,,,,
,-10.807,3.94,0.094,,,,,,,,,
QD1-I,-11.78,3.579,-1.293,,,,,,,,,
,-11.849,3.674,-1.213,,,,,,,,,
,-11.82,3.663,-1.241,,,,,,,,,
QV-O,-11.918,3.74,-1.233,,0.981,2,,,,,,
,-11.92,3.728,-1.268,,,,,,,,,
,-11.912,3.672,-1.293,,,,,,,,,
QV-I,-11.999,2.149,-1.918,,,,,,,,,
,-12.032,2.12,-1.983,,,,,,,,,
,-11.994,2.102,-2.001,,,,,,,,,
POD-O,-7.661,2.32,0.507,,0.988,1.7,,,,,,
,-7.598,2.237,0.459,,,,,,,,,
,-8.066,2.439,0.51,,,,,,,,,
POD-I,-11.507,3.16,-0.481,,,,,,,,,
,-11.323,3.091,-0.468,,,,,,,,,
,-11.333,3.059,-0.428,,,,,,,,,
QD2-O,-11.085,3.916,0.937,,0.289,0.6,,,,,,
,-11.012,3.864,0.969,,,,,,,,,
,-11.15,3.929,0.945,,,,,,,,,
QD2-I,-11.849,3.585,-0.122,,,,,,,,,
,-11.867,3.587,-0.07,,,,,,,,,
,-11.853,3.584,-0.089,,,,,,,,,
QD4-O,-11.049,3.478,-2.487,,0.259,0.2,,,,,,
,-11.006,3.453,-2.62,,,,,,,,,
,-11.052,3.452,-2.583,,,,,,,,,
QD4-I,-11.511,3.167,-3.088,,,,,,,,,
,-11.501,3.049,-3.003,,,,,,,,,
,-11.503,3.035,-2.999,,,,,,,,,
ABP,-6.997,0.216,-2.318,,,,,,,,,
,-7.073,0.336,-2.33,,,,,,,,,
,-7.058,0.326,-2.357,,,,,,,,,
PBP,-10.599,2.588,-1.934,,,,,,,,,
,-10.637,2.569,-1.907,,,,,,,,,
,-10.635,2.555,-1.901,,,,,,,,,
JJ,-11.72,3.053,-1.874,,,,,,,,,
,-11.645,3.142,-2.099,,,,,,,,,
,-11.673,3.168,-2.106,,,,,,,,,
