Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.663,5.051,1.074,,2.915,22.1,10.415,67.874,29,21.7,15.5,152.5
,-8.546,5.118,0.969,,,,,,,,,
,-8.583,4.897,0.937,,,,,,,,,
POV-I,-20.7,9.721,-2.75,,,,,,,,,
,-20.769,9.752,-2.741,,,,,,,,,
,-20.813,9.763,-2.786,,,,,,,,,
QD1-O,-17.639,10.37,2.149,,2.151,8.9,,,,,,
,-17.583,10.344,2.11,,,,,,,,,
,-17.538,10.315,2.143,,,,,,,,,
QD1-I,-21.095,10.719,-1.42,,,,,,,,,
,-21.048,10.827,-1.337,,,,,,,,,
,-21.07,10.848,-1.228,,,,,,,,,
QV-O,-21.385,11.074,-0.88,,13.98,40.2,,,,,,
,-21.332,11.074,-0.942,,,,,,,,,
,-21.362,11.097,-0.936,,,,,,,,,
QV-I,-24.739,8.752,-3.703,,,,,,,,,
,-24.673,8.659,-3.795,,,,,,,,,
,-24.657,8.699,-3.762,,,,,,,,,
POD-O,-11.149,6.357,0.14,,1.914,7.6,,,,,,
,-11.151,6.362,0.132,,,,,,,,,
,-11.192,6.4,0.153,,,,,,,,,
POD-I,-20.226,10.007,-2.068,,,,,,,,,
,-20.262,10.157,-1.938,,,,,,,,,
,-20.398,10.049,-2.028,,,,,,,,,
QD2-O,-17.678,11.262,2.313,,1.601,3.6,,,,,,
,-17.856,11.338,2.317,,,,,,,,,
,-17.757,11.273,2.246,,,,,,,,,
QD2-I,-20.842,10.849,-0.737,,,,,,,,,
,-20.857,10.914,-0.754,,,,,,,,,
,-20.831,10.803,-0.758,,,,,,,,,
QD3-O,-17.787,10.748,1.048,,1.465,5.5,,,,,,
,-17.904,10.825,1.012,,,,,,,,,
,-17.879,10.832,1.141,,,,,,,,,
QD3-I,-20.898,10.639,-1.283,,,,,,,,,
,-20.878,10.631,-1.238,,,,,,,,,
,-20.917,10.606,-1.344,,,,,,,,,
QD4-O,-19.818,10.815,-1.02,,1.193,4.2,,,,,,
,-19.849,10.778,-1.008,,,,,,,,,
,-19.842,10.768,-0.997,,,,,,,,,
QD4-I,-21.136,9.962,-2.463,,,,,,,,,
,-21.159,10.005,-2.448,,,,,,,,,
,-21.156,10.006,-2.443,,,,,,,,,
ABP,-11.491,1.464,-3.603,,,,,,,,,
,-11.566,1.34,-3.585,,,,,,,,,
,-11.48,1.27,-3.512,,,,,,,,,
PBP,-18.29,8.419,-2.597,,,,,,,,,
,-18.312,8.344,-2.578,,,,,,,,,
,-18.267,8.407,-2.578,,,,,,,,,
JJ,-20.713,9.621,-0.982,,,,,,,,,
,-20.694,9.604,-0.982,,,,,,,,,
,-20.686,9.598,-1.025,,,,,,,,,
