Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.563,4.18,1.196,,2.726,16.7,10.548,91.779,20.2,21.1,,125.7
,-4.549,4.182,1.283,,,,,,,,,
,-4.605,4.198,1.276,,,,,,,,,
POV-I,-12.747,8.486,-0.899,,,,,,,,,
,-12.818,8.389,-1.058,,,,,,,,,
,-12.812,8.495,-0.88,,,,,,,,,
QD1/2-O,-10.217,8.968,3.407,,1.999,5.2,,,,,,
,-10.195,8.965,3.394,,,,,,,,,
,-10.196,8.962,3.437,,,,,,,,,
QD1/2-I,-12.897,9.46,0.401,,,,,,,,,
,-12.836,9.506,0.444,,,,,,,,,
,-12.872,9.513,0.448,,,,,,,,,
QV-O,-13.011,9.556,0.47,,8.516,28.8,,,,,,
,-12.963,9.541,0.502,,,,,,,,,
,-12.984,9.516,0.372,,,,,,,,,
QV-I,-15.545,8.001,-1.679,,,,,,,,,
,-15.658,7.902,-1.727,,,,,,,,,
,-15.701,7.935,-1.711,,,,,,,,,
POD-O,-6.666,5.168,0.357,,0.991,4.1,,,,,,
,-6.623,5.143,0.303,,,,,,,,,
,-6.637,5.213,0.413,,,,,,,,,
POD-I,-12.413,8.823,-1.604,,,,,,,,,
,-12.567,8.798,-1.732,,,,,,,,,
,-12.5,8.727,-1.739,,,,,,,,,
QD3-O,-10.977,9.02,2.617,,3.642,8.3,,,,,,
,-10.946,9.01,2.658,,,,,,,,,
,-11.005,9.067,2.687,,,,,,,,,
QD3-I,-13.294,9.506,-0.391,,,,,,,,,
,-13.202,9.405,-0.292,,,,,,,,,
,-13.207,9.475,-0.028,,,,,,,,,
QD4-O,-12.58,9.271,1.475,,0.906,0.9,,,,,,
,-12.573,9.26,1.448,,,,,,,,,
,-12.493,9.262,1.46,,,,,,,,,
QD4-I,-13.348,9.255,0.763,,,,,,,,,
,-13.331,9.212,0.738,,,,,,,,,
,-13.368,9.265,0.683,,,,,,,,,
ABP,-7.159,1.342,-2.495,,,,,,,,,
,-7.168,1.263,-2.568,,,,,,,,,
,-7.16,1.357,-2.587,,,,,,,,,
PBP,-10.852,7.263,-0.461,,,,,,,,,
,-10.46,7.009,-0.663,,,,,,,,,
,-10.509,7.03,-0.697,,,,,,,,,
JJ,-13.227,8.705,1.366,,,,,,,,,
,-13.11,8.706,1.423,,,,,,,,,
,-13.208,8.723,1.38,,,,,,,,,
