Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.461,5.07,0.386,,2.855,13.2,8.312,73.834,19.9,19.6,,115.8
,-4.475,5.086,0.431,,,,,,,,,
,-4.46,5.229,0.456,,,,,,,,,
POV-I,-12.463,7.417,-2.435,,,,,,,,,
,-12.477,7.347,-2.364,,,,,,,,,
,-12.47,7.364,-2.497,,,,,,,,,
QD1-O,-9.901,9.158,1.439,,1.683,4.6,,,,,,
,-10.114,9.294,1.417,,,,,,,,,
,-10.132,9.314,1.464,,,,,,,,,
QD1-I,-12.763,9.271,-1.324,,,,,,,,,
,-12.738,9.25,-1.414,,,,,,,,,
,-12.713,9.197,-1.326,,,,,,,,,
QV-O,-13.026,9.269,-1.357,,9.849,25.4,,,,,,
,-12.97,9.239,-1.384,,,,,,,,,
,-12.934,9.187,-1.311,,,,,,,,,
QV-I,-15.719,7.456,-2.465,,,,,,,,,
,-15.631,7.506,-2.463,,,,,,,,,
,-15.731,7.252,-2.482,,,,,,,,,
POD-O,-6.596,6.34,0.055,,0.752,3.4,,,,,,
,-6.578,6.255,0.002,,,,,,,,,
,-6.565,6.219,0.028,,,,,,,,,
POD-I,-11.738,8.123,-2.279,,,,,,,,,
,-11.669,8.078,-2.181,,,,,,,,,
,-11.66,7.999,-2.155,,,,,,,,,
QD2-O,-10.408,9.518,1.781,,1.949,4.8,,,,,,
,-10.372,9.484,1.74,,,,,,,,,
,-10.326,9.451,1.746,,,,,,,,,
QD2-I,-12.427,9.417,-1.456,,,,,,,,,
,-12.374,9.384,-1.366,,,,,,,,,
,-12.45,9.507,-1.262,,,,,,,,,
QD3-O,-10.712,8.946,0.897,,0.6,2.5,,,,,,
,-10.773,8.989,0.879,,,,,,,,,
,-10.653,8.883,0.864,,,,,,,,,
QD3-I,-12.414,8.695,-1.477,,,,,,,,,
,-12.46,8.643,-1.388,,,,,,,,,
,-12.471,8.655,-1.522,,,,,,,,,
QD4-O,-11.662,8.877,-0.072,,1.207,1.6,,,,,,
,-11.628,8.868,-0.023,,,,,,,,,
,-11.628,8.852,-0.063,,,,,,,,,
QD4-I,-12.65,8.616,-0.953,,,,,,,,,
,-12.633,8.589,-0.919,,,,,,,,,
,-12.587,8.444,-1.002,,,,,,,,,
ABP,-6.682,1.535,-3.151,,,,,,,,,
,-6.711,1.418,-3.049,,,,,,,,,
,-6.67,1.387,-3.134,,,,,,,,,
PBP,-10.815,7.271,-1.485,,,,,,,,,
,-10.782,7.169,-1.418,,,,,,,,,
,-10.735,7.14,-1.398,,,,,,,,,
JJ,-12.78,8.424,-0.191,,,,,,,,,
,-12.755,8.371,-0.175,,,,,,,,,
,-12.758,8.376,-0.175,,,,,,,,,
