SharkID,Species,Sex,TL,FL,PCL,Age,Sample.Yr,d15N,d13C,wt.per.N,wt.per.C,C.N
BH1 4-25-14,BH,F,77.4,62.6,56.7,Juv,2014,18.47,-17.75,14.68,47.34,3.22479564
BH1 4-27-15,BH,F,51.7,40.8,36.6,YoY,2015,16.26,-17.97,14.84,48.15,3.244609164
BH1 5-2-14,BH,F,103.2,81.4,75.3,Adult,2014,16.39,-16.73,14.8,47.48,3.208108108
BH1 4-26-14,BH,F,67.2,54.7,52.2,YoY,2014,15.58,-17.39,14.77,47.58,3.221394719
BH1 6-20-15,BH,F,67.8,53.2,48.2,YoY,2015,15.99,-17.57,13.86,45.16,3.258297258
BH1 4-11-15,BH,M,76.1,61.8,55.6,Juv,2015,16.02,-17.22,4.42,14.37,3.251131222
BH2 8-9-14,BH,F,96.6,75.6,66.9,Adult,2014,15.08,-16.11,14.59,47.14,3.230980123
BH3 10-18-14,BH,F,91.4,72.5,67.2,Adult,2014,15.69,-16.78,14.9,47.46,3.185234899
BH2 10-10-15,BH,F,110.6,88.6,81.4,Adult,2015,17.07,-17.26,14.75,47.55,3.223728814
BH1 9-25-15,BH,M,95,77.3,71.2,Adult,2015,16.32,-16.86,14.49,46.58,3.21463078
BH4 10-3-15,BH,F,66.4,51.7,47.8,YoY,2015,18.08,-19,14.38,47.9,3.331015299
BH1 7-11-14,BH,F,81.2,65.3,59.8,Juv,2014,16.38,-17.24,10.31,33.45,3.24442289
BH1 8-8-14,BH,F,84.3,65.6,60.6,Juv,2014,17.65,-17.03,14.48,46.53,3.21339779
BH2 10-17-15,BH,M,68.6,49.1,45,YoY,2015,18.68,-20.09,10.13,32.65,3.223099704
BH2 8-9-14,BH,F,96.6,75.6,66.9,Adult,2014,16.57,-16.78,14.31,46.97,3.282320056
BH1 9-6-14,BH,F,125.4,99.8,92.4,Adult,2014,15.51,-17.9,14.7,46.24,3.145578231
BH5 9-6-14,BH,F,106.5,85,80.4,Adult,2014,16.16,-16.87,14.82,46.8,3.157894737
BH1 7-12-14,BH,M,73,57.5,53.5,YoY,2014,17.04,-17.57,14.53,46.54,3.203028217
BH2 7-12-14,BH,M,73.5,57.4,52.5,Juv,2014,16.12,-16.84,14.34,46.02,3.209205021
BH6 8-1-14,BH,F,82.3,63.8,50.7,Juv,2014,15.76,-16.77,14.52,46.8,3.223140496
BH2 7-25-14,BH,F,100.9,80.6,73.3,Adult,2014,16.15,-16.93,14.23,44.48,3.125790583
BH2 5-30-14,BH,F,73.8,58.8,53.9,Juv,2014,14.86,-17.36,14.49,46.6,3.216011042
BH1 5-30-14,BH,F,71.4,57.3,51.8,YoY,2014,15.38,-18,14.82,47.84,3.228070175
BH2 7-18-15,BH,M,94.5,72.6,68.2,Adult,2015,16.73,-17.1,14.72,47.24,3.20923913
BH2 7-22-16,BH,M,86,70.9,66.8,Juv,2016,16.35,-16.5,15.44,46.71,3.025259067
BH9 10-1-16,BH,F,111.6,87,81.4,Adult,2016,15.79,-16.75,15.35,45.35,2.954397394
BH2 8-26-16,BH,F,82.3,64.9,58.1,Juv,2016,16.53,-17.56,15.39,47.58,3.091617934
BH1 6-26-15,BH,F,92.4,78.4,73.2,Adult,2015,16.38,-16.27,15.29,47.07,3.078482668
BH2 8-27-16,BH,M,94.4,73.8,68.2,Adult,2016,16.48,-16.72,15.23,45.86,3.01116218
BH3 9-24-16,BH,F,84.5,65,58.9,Juv,2016,17.38,-17.56,15.28,47.5,3.108638743
BH2 7-2-16,BH,F,93.8,73,66.7,Adult,2016,15.37,-16.96,15.05,46.28,3.075083056
BH1 9-24-16,BH,F,67.7,51.8,48.2,YoY,2016,17.2,-18.8,15.06,46.93,3.116201859
BH5 8-27-16,BH,F,106.9,86.9,80.4,Adult,2016,16.06,-16.37,15.32,47.74,3.11618799
BH6 8-5-16,BH,,,,,,2016,16.42,-16.67,15.29,47.89,3.132112492
