Sample,d15N,d13C,wt.per.N,wt.per.C
Cleu_Gal03,16.45,-16.36,15.84,48.12
Cleu_Dic65,15.68,-18.25,14.98,47.87
Cleu_Dic64,14.58,-13.99,14.97,47.25
Cleu_Dic62,19.36,-18.44,14.75,45.97
Cleu_Dic56,18.87,-18.60,14.91,45.76
Cleu_Dic52,17.67,-20.00,15.19,45.78
Cleu_Gal05,16.03,-16.38,15.04,44.81
Cleu_Gal04,17.17,-17.28,15.40,47.78
Cleu_Gal02,18.99,-18.07,15.32,46.31
Cleu_Gal01,17.65,-16.31,15.30,48.30
BT2 6/19/15,17.55,-16.97,15.07,46.57
BT2 7/16/16,16.77,-16.95,15.34,46.30
BT2 6/18/16,16.11,-17.20,15.21,46.54
BT3 10/3/15,17.00,-17.13,14.82,45.28
BT2 7/30/16,16.95,-17.01,15.66,46.86
BT1 8/20/16,16.60,-17.37,15.07,46.61
BT2 8/5/16,16.69,-17.11,15.23,46.36
BT1 8/27/16,16.88,-17.19,14.65,45.18
BT4 7/30/16,16.87,-17.19,14.94,46.75
BT1 7/30/16,17.21,-16.42,15.04,45.45
BH2 7/22/16,16.35,-16.50,15.44,46.71
BH9 10/1/16,15.79,-16.75,15.35,45.35
BH2 8/26/16,16.53,-17.56,15.39,47.58
BH1 6/26/15,16.38,-16.27,15.29,47.07
BH2 8/27/16,16.48,-16.72,15.23,45.86
BH3 9/24/16,17.38,-17.56,15.28,47.50
BH2 7/2/16,15.37,-16.96,15.05,46.28
BH1 9/24/16,17.20,-18.80,15.06,46.93
BH5 8/27/16,16.06,-16.37,15.32,47.74
BH6 8/5/16,16.42,-16.67,15.29,47.89
